t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,2.432299E-09,1.413031E-10,1.436435E-08,-2.285807E-09,7.240767E-09,-3.069171E-09
4.000000E-01,1.347116E-08,-3.974296E-10,7.521803E-08,-1.645902E-08,4.076251E-08,-1.547026E-08
5.000000E-01,4.407184E-08,-4.336129E-09,2.337181E-07,-6.363114E-08,1.345706E-07,-4.673799E-08
6.000000E-01,1.119251E-07,-1.787829E-08,5.648604E-07,-1.832305E-07,3.439935E-07,-1.101250E-07
7.000000E-01,2.415568E-07,-5.244065E-08,1.161081E-06,-4.377263E-07,7.463591E-07,-2.208652E-07
8.000000E-01,4.654054E-07,-1.262936E-07,2.132285E-06,-9.169429E-07,1.444184E-06,-3.960146E-07
9.000000E-01,8.242972E-07,-2.663221E-07,3.604111E-06,-1.740897E-06,2.566979E-06,-6.537674E-07
1.000000E+00,1.367608E-06,-5.097944E-07,5.715521E-06,-3.060733E-06,4.271759E-06,-1.012762E-06
1.100000E+00,2.152846E-06,-9.060867E-07,8.615730E-06,-5.057342E-06,6.742033E-06,-1.491086E-06
1.200000E+00,3.244643E-06,-1.518271E-06,1.246027E-05,-7.937392E-06,1.018496E-05,-2.105000E-06
1.300000E+00,4.713096E-06,-2.424483E-06,1.740615E-05,-1.192666E-05,1.482657E-05,-2.867255E-06
1.400000E+00,6.631482E-06,-3.718958E-06,2.360616E-05,-1.726073E-05,2.090506E-05,-3.784951E-06
1.500000E+00,9.073399E-06,-5.512653E-06,3.120240E-05,-2.417323E-05,2.866228E-05,-4.856898E-06
1.600000E+00,1.210946E-05,-7.933341E-06,4.031930E-05,-3.288216E-05,3.833385E-05,-6.070453E-06
1.700000E+00,1.580367E-05,-1.112510E-05,5.105653E-05,-4.357470E-05,5.013810E-05,-7.397878E-06
1.800000E+00,2.020968E-05,-1.524711E-05,6.348212E-05,-5.639135E-05,6.426455E-05,-8.792284E-06
1.900000E+00,2.536705E-05,-2.047179E-05,7.762635E-05,-7.141008E-05,8.086219E-05,-1.018327E-05
2.000000E+00,3.129773E-05,-2.698210E-05,9.347700E-05,-8.863141E-05,1.000283E-04,-1.147246E-05
2.100000E+00,3.800284E-05,-3.496823E-05,1.109763E-04,-1.079652E-04,1.217981E-04,-1.252907E-05
2.200000E+00,4.545987E-05,-4.462353E-05,1.300203E-04,-1.292197E-04,1.461351E-04,-1.318588E-05
2.300000E+00,5.362032E-05,-5.613993E-05,1.504607E-04,-1.520947E-04,1.729234E-04,-1.323576E-05
2.400000E+00,6.240786E-05,-6.970282E-05,1.721093E-04,-1.761768E-04,2.019605E-04,-1.242915E-05
2.500000E+00,7.171674E-05,-8.548566E-05,1.947458E-04,-2.009411E-04,2.329520E-04,-1.047266E-05
2.600000E+00,8.141072E-05,-1.036444E-04,2.181281E-04,-2.257551E-04,2.655065E-04,-7.029174E-06
2.700000E+00,9.132211E-05,-1.243122E-04,2.420044E-04,-2.498894E-04,2.991314E-04,-1.719697E-06
2.800000E+00,1.012510E-04,-1.475935E-04,2.661278E-04,-2.725307E-04,3.332298E-04,5.873057E-06
2.900000E+00,1.109646E-04,-1.735600E-04,2.902722E-04,-2.928010E-04,3.670967E-04,1.619904E-05
3.000000E+00,1.201967E-04,-2.022455E-04,3.142478E-04,-3.097786E-04,3.999161E-04,2.973333E-05
3.100000E+00,1.286471E-04,-2.336432E-04,3.379171E-04,-3.225239E-04,4.307588E-04,4.696675E-05
3.200000E+00,1.359816E-04,-2.677023E-04,3.612094E-04,-3.301062E-04,4.585802E-04,6.839482E-05
3.300000E+00,1.418321E-04,-3.043263E-04,3.841333E-04,-3.316324E-04,4.822209E-04,9.450539E-05
3.400000E+00,1.457971E-04,-3.433726E-04,4.067873E-04,-3.262762E-04,5.004088E-04,1.257654E-04
