t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-8.228541E-09,-1.264125E-09,4.567748E-08,7.040251E-09,-1.997534E-08,2.014335E-09
4.000000E-01,-4.262951E-08,-5.798588E-09,2.346065E-07,3.573030E-08,-1.075629E-07,1.041006E-08
5.000000E-01,-1.306857E-07,-1.585179E-08,7.153517E-07,1.067842E-07,-3.395555E-07,3.175161E-08
6.000000E-01,-3.100483E-07,-3.326834E-08,1.694946E-06,2.461427E-07,-8.276157E-07,7.487055E-08
7.000000E-01,-6.216719E-07,-5.797025E-08,3.409762E-06,4.776756E-07,-1.704668E-06,1.491433E-07
8.000000E-01,-1.105886E-06,-8.723827E-08,6.117074E-06,8.188798E-07,-3.116452E-06,2.636765E-07
9.000000E-01,-1.796288E-06,-1.149214E-07,1.008120E-05,1.275868E-06,-5.207839E-06,4.262148E-07
1.000000E+00,-2.713132E-06,-1.308690E-07,1.555850E-05,1.838861E-06,-8.105791E-06,6.422595E-07
1.100000E+00,-3.855994E-06,-1.205230E-07,2.278195E-05,2.478607E-06,-1.189965E-05,9.143659E-07
1.200000E+00,-5.196243E-06,-6.471946E-08,3.194525E-05,3.144120E-06,-1.661924E-05,1.241773E-06
1.300000E+00,-6.669558E-06,6.032265E-08,4.318652E-05,3.762076E-06,-2.221150E-05,1.620409E-06
1.400000E+00,-8.168845E-06,2.828450E-07,5.657201E-05,4.238016E-06,-2.851628E-05,2.043310E-06
1.500000E+00,-9.537822E-06,6.352606E-07,7.207982E-05,4.459419E-06,-3.524213E-05,2.501476E-06
1.600000E+00,-1.056555E-05,1.153774E-06,8.958399E-05,4.300504E-06,-4.194274E-05,2.985116E-06
1.700000E+00,-1.098208E-05,1.877956E-06,1.088394E-04,3.628484E-06,-4.799472E-05,3.485258E-06
1.800000E+00,-1.045551E-05,2.850309E-06,1.294677E-04,2.310832E-06,-5.257765E-05,3.995621E-06
1.900000E+00,-8.590329E-06,4.115857E-06,1.509453E-04,2.230082E-07,-5.465728E-05,4.514672E-06
2.000000E+00,-4.927413E-06,5.721771E-06,1.725930E-04,-2.743955E-06,-5.297273E-05,5.047721E-06
2.100000E+00,1.054550E-06,7.717021E-06,1.935692E-04,-6.676644E-06,-4.602880E-05,5.608963E-06
2.200000E+00,9.936077E-06,1.015203E-05,2.128669E-04,-1.163381E-05,-3.209454E-05,6.223298E-06
2.300000E+00,2.235250E-05,1.307826E-05,2.293139E-04,-1.764272E-05,-9.208909E-06,6.927837E-06
2.400000E+00,3.898824E-05,1.654773E-05,2.415787E-04,-2.469761E-05,2.480547E-05,7.772945E-06
2.500000E+00,6.057002E-05,2.061229E-05,2.481807E-04,-3.276038E-05,7.231995E-05,8.822743E-06
2.600000E+00,8.785914E-05,2.532270E-05,2.475060E-04,-4.176332E-05,1.358687E-04,1.015497E-05
2.700000E+00,1.216432E-04,3.072736E-05,2.378270E-04,-5.161362E-05,2.181092E-04,1.186017E-05
2.800000E+00,1.627279E-04,3.687075E-05,2.173270E-04,-6.219912E-05,3.217751E-04,1.404011E-05
2.900000E+00,2.119283E-04,4.379146E-05,1.841269E-04,-7.339458E-05,4.496233E-04,1.680552E-05
3.000000E+00,2.700621E-04,5.152009E-05,1.363142E-04,-8.506784E-05,6.043773E-04,2.027313E-05
3.100000E+00,3.379425E-04,6.007675E-05,7.197182E-05,-9.708513E-05,7.886693E-04,2.456206E-05
3.200000E+00,4.163736E-04,6.946863E-05,-1.079525E-05,-1.093150E-04,1.004984E-03,2.978960E-05
3.300000E+00,5.061468E-04,7.968758E-05,-1.138372E-04,-1.216301E-04,1.255608E-03,3.606667E-05
3.400000E+00,6.080399E-04,9.070793E-05,-2.389427E-04,-1.339075E-04,1.542585E-03,4.349285E-05
