t (s),<greek>z</greek> (m)
1.000000E-01,0.000000E+00
2.000000E-01,2.641270E-06
3.000000E-01,1.408721E-05
4.000000E-01,3.739349E-05
5.000000E-01,7.237982E-05
6.000000E-01,1.161527E-04
7.000000E-01,1.644092E-04
8.000000E-01,2.130671E-04
9.000000E-01,2.596862E-04
1.000000E+00,3.042222E-04
1.100000E+00,3.488657E-04
1.200000E+00,3.970289E-04
1.300000E+00,4.518531E-04
1.400000E+00,5.148276E-04
1.500000E+00,5.851357E-04
1.600000E+00,6.601535E-04
1.700000E+00,7.371330E-04
1.800000E+00,8.156328E-04
1.900000E+00,8.998494E-04
2.000000E+00,9.998165E-04
2.100000E+00,1.130566E-03
2.200000E+00,1.308795E-03
2.300000E+00,1.547237E-03
2.400000E+00,1.847657E-03
2.500000E+00,2.193890E-03
2.600000E+00,2.546599E-03
2.700000E+00,2.841209E-03
2.800000E+00,2.989983E-03
2.900000E+00,2.888460E-03
3.000000E+00,2.425743E-03
3.100000E+00,1.497477E-03
3.200000E+00,1.996377E-05
3.300000E+00,-2.056318E-03
3.400000E+00,-4.735513E-03
3.500000E+00,-7.969079E-03
3.600000E+00,-1.165365E-02
3.700000E+00,-1.563488E-02
3.800000E+00,-1.971753E-02
3.900000E+00,-2.368096E-02
4.000000E+00,-2.729840E-02
4.100000E+00,-3.035714E-02
4.200000E+00,-3.267649E-02
4.300000E+00,-3.412020E-02
4.400000E+00,-3.460125E-02
4.500000E+00,-3.407867E-02
4.600000E+00,-3.254830E-02
4.700000E+00,-3.003161E-02
4.800000E+00,-2.656730E-02
4.900000E+00,-2.221052E-02
5.000000E+00,-1.704156E-02
5.100000E+00,-1.118293E-02
5.200000E+00,-4.819217E-03
5.300000E+00,1.788266E-03
5.400000E+00,8.301428E-03
5.500000E+00,1.432660E-02
5.600000E+00,1.945901E-02
5.700000E+00,2.334559E-02
5.800000E+00,2.575453E-02
5.900000E+00,2.663516E-02
6.000000E+00,2.615154E-02
6.100000E+00,2.467645E-02
6.200000E+00,2.274137E-02
6.300000E+00,2.094815E-02
6.400000E+00,1.985840E-02
6.500000E+00,1.988368E-02
6.600000E+00,2.120082E-02
6.700000E+00,2.371236E-02
6.800000E+00,2.706185E-02
6.900000E+00,3.070131E-02
7.000000E+00,3.399566E-02
7.100000E+00,3.634073E-02
7.200000E+00,3.726900E-02
7.300000E+00,3.652129E-02
7.400000E+00,3.407202E-02
7.500000E+00,3.010779E-02
7.600000E+00,2.496970E-02
7.700000E+00,1.907746E-02
7.800000E+00,1.285472E-02
7.900000E+00,6.671527E-03
8.000000E+00,8.119133E-04
8.100000E+00,-4.533723E-03
8.200000E+00,-9.259068E-03
8.300000E+00,-1.332569E-02
8.400000E+00,-1.674950E-02
8.500000E+00,-1.959431E-02
8.600000E+00,-2.197077E-02
8.700000E+00,-2.403391E-02
8.800000E+00,-2.597074E-02
8.900000E+00,-2.797172E-02
9.000000E+00,-3.018554E-02
9.100000E+00,-3.266419E-02
9.200000E+00,-3.531133E-02
9.300000E+00,-3.785010E-02
9.400000E+00,-3.982436E-02
9.500000E+00,-4.064131E-02
9.600000E+00,-3.965332E-02
9.700000E+00,-3.626727E-02
9.800000E+00,-3.006153E-02
9.900000E+00,-2.088736E-02
1.000000E+01,-8.933194E-03
1.010000E+01,5.262659E-03
1.020000E+01,2.085599E-02
1.030000E+01,3.679128E-02
1.040000E+01,5.193186E-02
1.050000E+01,6.520475E-02
1.060000E+01,7.573718E-02
1.070000E+01,8.296421E-02
1.080000E+01,8.669188E-02
1.090000E+01,8.710725E-02
1.100000E+01,8.473453E-02
1.110000E+01,8.034375E-02
1.120000E+01,7.482467E-02
1.130000E+01,6.904380E-02
1.140000E+01,6.370513E-02
1.150000E+01,5.923612E-02
1.160000E+01,5.571796E-02
1.170000E+01,5.287412E-02
1.180000E+01,5.012253E-02
1.190000E+01,4.668662E-02
1.200000E+01,4.174944E-02
1.210000E+01,3.462549E-02
1.220000E+01,2.491957E-02
1.230000E+01,1.264119E-02
1.240000E+01,-1.750995E-03
1.250000E+01,-1.738870E-02
1.260000E+01,-3.311679E-02
1.270000E+01,-4.768188E-02
1.280000E+01,-5.995554E-02
1.290000E+01,-6.915170E-02
1.300000E+01,-7.499594E-02
1.310000E+01,-7.781037E-02
1.320000E+01,-7.849125E-02
1.330000E+01,-7.837528E-02
1.340000E+01,-7.901125E-02
1.350000E+01,-8.187336E-02
1.360000E+01,-8.806642E-02
1.370000E+01,-9.807898E-02
1.380000E+01,-1.116356E-01
1.390000E+01,-1.276838E-01
1.400000E+01,-1.445286E-01
1.410000E+01,-1.600954E-01
1.420000E+01,-1.722791E-01
1.430000E+01,-1.793105E-01
1.440000E+01,-1.800674E-01
1.450000E+01,-1.742614E-01
1.460000E+01,-1.624574E-01
1.470000E+01,-1.459163E-01
1.480000E+01,-1.262931E-01
1.490000E+01,-1.052563E-01
1.500000E+01,-8.411966E-02
1.510000E+01,-6.357266E-02
1.520000E+01,-4.358111E-02
1.530000E+01,-2.348282E-02
1.540000E+01,-2.257581E-03
1.550000E+01,2.109759E-02
1.560000E+01,4.718705E-02
1.570000E+01,7.593323E-02
1.580000E+01,1.064732E-01
1.590000E+01,1.372704E-01
1.600000E+01,1.664202E-01
1.610000E+01,1.920735E-01
1.620000E+01,2.128676E-01
1.630000E+01,2.282507E-01
1.640000E+01,2.386097E-01
1.650000E+01,2.451650E-01
1.660000E+01,2.496581E-01
1.670000E+01,2.539132E-01
1.680000E+01,2.593885E-01
1.690000E+01,2.668343E-01
1.700000E+01,2.761430E-01
1.710000E+01,2.864212E-01
1.720000E+01,2.962526E-01
1.730000E+01,3.040689E-01
1.740000E+01,3.085179E-01
1.750000E+01,3.087292E-01
1.760000E+01,3.044102E-01
1.770000E+01,2.957651E-01
1.780000E+01,2.832779E-01
1.790000E+01,2.674468E-01
1.800000E+01,2.485591E-01
1.810000E+01,2.265820E-01
1.820000E+01,2.011951E-01
1.830000E+01,1.719423E-01
1.840000E+01,1.384375E-01
1.850000E+01,1.005401E-01
1.860000E+01,5.843043E-02
1.870000E+01,1.255371E-02
1.880000E+01,-3.654697E-02
1.890000E+01,-8.844065E-02
1.900000E+01,-1.429690E-01
1.910000E+01,-2.002728E-01
1.920000E+01,-2.606425E-01
1.930000E+01,-3.242085E-01
1.940000E+01,-3.905568E-01
1.950000E+01,-4.583926E-01
1.960000E+01,-5.253876E-01
1.970000E+01,-5.883062E-01
1.980000E+01,-6.434386E-01
1.990000E+01,-6.872777E-01
2.000000E+01,-7.172936E-01
2.010000E+01,-7.326143E-01
2.020000E+01,-7.344175E-01
2.030000E+01,-7.258940E-01
2.040000E+01,-7.117379E-01
2.050000E+01,-6.972329E-01
2.060000E+01,-6.871112E-01
2.070000E+01,-6.844253E-01
2.080000E+01,-6.896878E-01
2.090000E+01,-7.004856E-01
2.100000E+01,-7.116757E-01
2.110000E+01,-7.161488E-01
2.120000E+01,-7.060240E-01
2.130000E+01,-6.740482E-01
2.140000E+01,-6.149323E-01
2.150000E+01,-5.263731E-01
2.160000E+01,-4.095743E-01
2.170000E+01,-2.691822E-01
2.180000E+01,-1.126603E-01
2.190000E+01,5.077349E-02
2.200000E+01,2.114547E-01
2.210000E+01,3.606035E-01
2.220000E+01,4.914700E-01
2.230000E+01,6.001244E-01
2.240000E+01,6.857913E-01
2.250000E+01,7.506982E-01
2.260000E+01,7.994807E-01
2.270000E+01,8.382459E-01
2.280000E+01,8.734409E-01
2.290000E+01,9.106937E-01
2.300000E+01,9.538024E-01
2.310000E+01,1.004023E+00
2.320000E+01,1.059775E+00
2.330000E+01,1.116807E+00
2.340000E+01,1.168830E+00
2.350000E+01,1.208495E+00
2.360000E+01,1.228591E+00
2.370000E+01,1.223241E+00
2.380000E+01,1.188906E+00
2.390000E+01,1.125007E+00
2.400000E+01,1.034064E+00
2.410000E+01,9.213232E-01
2.420000E+01,7.939641E-01
2.430000E+01,6.600298E-01
2.440000E+01,5.273059E-01
2.450000E+01,4.023529E-01
2.460000E+01,2.898584E-01
2.470000E+01,1.923952E-01
2.480000E+01,1.105677E-01
2.490000E+01,4.344620E-02
2.500000E+01,-1.087434E-02
2.510000E+01,-5.475590E-02
2.520000E+01,-9.066924E-02
2.530000E+01,-1.210658E-01
2.540000E+01,-1.484319E-01
2.550000E+01,-1.754129E-01
2.560000E+01,-2.048640E-01
2.570000E+01,-2.397025E-01
2.580000E+01,-2.825083E-01
2.590000E+01,-3.349195E-01
2.600000E+01,-3.969711E-01
2.610000E+01,-4.665893E-01
2.620000E+01,-5.394604E-01
2.630000E+01,-6.094270E-01
2.640000E+01,-6.694384E-01
2.650000E+01,-7.129252E-01
2.660000E+01,-7.353277E-01
2.670000E+01,-7.354185E-01
2.680000E+01,-7.160613E-01
2.690000E+01,-6.841480E-01
2.700000E+01,-6.496308E-01
2.710000E+01,-6.237849E-01
2.720000E+01,-6.170368E-01
2.730000E+01,-6.368214E-01
2.740000E+01,-6.859526E-01
2.750000E+01,-7.618895E-01
2.760000E+01,-8.570851E-01
2.770000E+01,-9.603487E-01
2.780000E+01,-1.058920E+00
2.790000E+01,-1.140788E+00
2.800000E+01,-1.196735E+00
2.810000E+01,-1.221677E+00
2.820000E+01,-1.215044E+00
2.830000E+01,-1.180192E+00
2.840000E+01,-1.123076E+00
2.850000E+01,-1.050560E+00
2.860000E+01,-9.687989E-01
2.870000E+01,-8.820761E-01
2.880000E+01,-7.922986E-01
2.890000E+01,-6.991796E-01
2.900000E+01,-6.009382E-01
2.910000E+01,-4.952412E-01
2.920000E+01,-3.800868E-01
2.930000E+01,-2.544022E-01
2.940000E+01,-1.182579E-01
2.950000E+01,2.725782E-02
2.960000E+01,1.803487E-01
2.970000E+01,3.388162E-01
2.980000E+01,5.002090E-01
2.990000E+01,6.617646E-01
3.000000E+01,8.202076E-01
3.010000E+01,9.715608E-01
3.020000E+01,1.111149E+00
3.030000E+01,1.233931E+00
3.040000E+01,1.335172E+00
3.050000E+01,1.411344E+00
3.060000E+01,1.461013E+00
3.070000E+01,1.485427E+00
3.080000E+01,1.488577E+00
3.090000E+01,1.476601E+00
3.100000E+01,1.456624E+00
3.110000E+01,1.435253E+00
3.120000E+01,1.417109E+00
3.130000E+01,1.403771E+00
3.140000E+01,1.393428E+00
3.150000E+01,1.381337E+00
3.160000E+01,1.361000E+00
3.170000E+01,1.325750E+00
3.180000E+01,1.270326E+00
3.190000E+01,1.192051E+00
3.200000E+01,1.091300E+00
3.210000E+01,9.711793E-01
3.220000E+01,8.365375E-01
3.230000E+01,6.926224E-01
3.240000E+01,5.437760E-01
3.250000E+01,3.925409E-01
3.260000E+01,2.394173E-01
3.270000E+01,8.331584E-02
3.280000E+01,-7.744693E-02
3.290000E+01,-2.439142E-01
3.300000E+01,-4.153771E-01
3.310000E+01,-5.887034E-01
3.320000E+01,-7.582969E-01
3.330000E+01,-9.167073E-01
3.340000E+01,-1.055745E+00
3.350000E+01,-1.167842E+00
3.360000E+01,-1.247355E+00
3.370000E+01,-1.291549E+00
3.380000E+01,-1.301090E+00
3.390000E+01,-1.279985E+00
3.400000E+01,-1.235023E+00
3.410000E+01,-1.174846E+00
3.420000E+01,-1.108794E+00
3.430000E+01,-1.045690E+00
3.440000E+01,-9.927016E-01
3.450000E+01,-9.543750E-01
3.460000E+01,-9.319597E-01
3.470000E+01,-9.231017E-01
3.480000E+01,-9.219877E-01
3.490000E+01,-9.199933E-01
3.500000E+01,-9.068246E-01
3.510000E+01,-8.720623E-01
3.520000E+01,-8.069154E-01
3.530000E+01,-7.059103E-01
3.540000E+01,-5.681949E-01
3.550000E+01,-3.981669E-01
3.560000E+01,-2.052313E-01
3.570000E+01,-2.652865E-03
3.580000E+01,1.943450E-01
3.590000E+01,3.709108E-01
3.600000E+01,5.148934E-01
3.610000E+01,6.187176E-01
3.620000E+01,6.804376E-01
3.630000E+01,7.037659E-01
3.640000E+01,6.970852E-01
3.650000E+01,6.716585E-01
3.660000E+01,6.394127E-01
3.670000E+01,6.107387E-01
3.680000E+01,5.927299E-01
3.690000E+01,5.881712E-01
3.700000E+01,5.954193E-01
3.710000E+01,6.091354E-01
3.720000E+01,6.216672E-01
3.730000E+01,6.247661E-01
