t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-1.367461E-08,-3.490081E-08,-1.146495E-08,2.271152E-08,-3.085354E-08,2.465783E-08
4.000000E-01,-7.145237E-08,-1.893520E-07,-7.017334E-08,1.098548E-07,-1.603572E-07,1.218549E-07
5.000000E-01,-2.219101E-07,-6.068324E-07,-2.444783E-07,3.167991E-07,-4.937922E-07,3.599520E-07
6.000000E-01,-5.357434E-07,-1.509120E-06,-6.508941E-07,7.079863E-07,-1.180766E-06,8.260007E-07
7.000000E-01,-1.098960E-06,-3.187943E-06,-1.459637E-06,1.335034E-06,-2.396833E-06,1.605242E-06
8.000000E-01,-2.012394E-06,-6.012246E-06,-2.903173E-06,2.226598E-06,-4.338461E-06,2.772990E-06
9.000000E-01,-3.388902E-06,-1.042979E-05,-5.283261E-06,3.375715E-06,-7.214105E-06,4.382500E-06
1.000000E+00,-5.350796E-06,-1.696936E-05,-8.976890E-06,4.727568E-06,-1.123434E-05,6.453788E-06
1.100000E+00,-8.026700E-06,-2.624136E-05,-1.444120E-05,6.167745E-06,-1.660169E-05,8.962047E-06
1.200000E+00,-1.154835E-05,-3.893783E-05,-2.221722E-05,7.511217E-06,-2.350026E-05,1.182673E-05
1.300000E+00,-1.604723E-05,-5.583144E-05,-3.293247E-05,8.492129E-06,-3.208548E-05,1.490129E-05
1.400000E+00,-2.165122E-05,-7.777363E-05,-4.730217E-05,8.754552E-06,-4.247441E-05,1.796390E-05
1.500000E+00,-2.848125E-05,-1.056916E-04,-6.612918E-05,7.844280E-06,-5.473669E-05,2.070957E-05
1.600000E+00,-3.664816E-05,-1.405842E-04,-9.030235E-05,5.201787E-06,-6.888671E-05,2.274373E-05
1.700000E+00,-4.624978E-05,-1.835165E-04,-1.207934E-04,1.564369E-07,-8.487696E-05,2.357775E-05
1.800000E+00,-5.736823E-05,-2.356132E-04,-1.586522E-04,-8.077963E-06,-1.025931E-04,2.262664E-05
1.900000E+00,-7.006777E-05,-2.980497E-04,-2.050000E-04,-2.040614E-05,-1.218505E-04,1.920898E-05
2.000000E+00,-8.439291E-05,-3.720425E-04,-2.610211E-04,-3.785276E-05,-1.423933E-04,1.254954E-05
2.100000E+00,-1.003672E-04,-4.588372E-04,-3.279528E-04,-6.156216E-05,-1.638946E-04,1.784436E-06
2.200000E+00,-1.179923E-04,-5.596941E-04,-4.070729E-04,-9.279616E-05,-1.859596E-04,-1.403087E-05
2.300000E+00,-1.372480E-04,-6.758730E-04,-4.996858E-04,-1.329300E-04,-2.081297E-04,-3.591092E-05
2.400000E+00,-1.580925E-04,-8.086144E-04,-6.071068E-04,-1.834460E-04,-2.298901E-04,-6.492697E-05
2.500000E+00,-1.804630E-04,-9.591197E-04,-7.306441E-04,-2.459250E-04,-2.506770E-04,-1.021912E-04
2.600000E+00,-2.042778E-04,-1.128529E-03,-8.715797E-04,-3.220351E-04,-2.698889E-04,-1.488388E-04
2.700000E+00,-2.294375E-04,-1.317896E-03,-1.031149E-03,-4.135181E-04,-2.868969E-04,-2.060083E-04
2.800000E+00,-2.558277E-04,-1.528164E-03,-1.210517E-03,-5.221727E-04,-3.010578E-04,-2.748203E-04
2.900000E+00,-2.833218E-04,-1.760136E-03,-1.410759E-03,-6.498354E-04,-3.117269E-04,-3.563554E-04
3.000000E+00,-3.117835E-04,-2.014446E-03,-1.632833E-03,-7.983580E-04,-3.182714E-04,-4.516321E-04
3.100000E+00,-3.410701E-04,-2.291530E-03,-1.877559E-03,-9.695821E-04,-3.200840E-04,-5.615846E-04
3.200000E+00,-3.710356E-04,-2.591596E-03,-2.145595E-03,-1.165311E-03,-3.165954E-04,-6.870423E-04
