t (s),<greek>z</greek> (m)
1.000000E-01,0.000000E+00
2.000000E-01,-2.351664E-05
3.000000E-01,-9.244503E-05
4.000000E-01,-2.040879E-04
5.000000E-01,-3.554207E-04
6.000000E-01,-5.430734E-04
7.000000E-01,-7.632526E-04
8.000000E-01,-1.011610E-03
9.000000E-01,-1.283065E-03
1.000000E+00,-1.571598E-03
1.100000E+00,-1.870024E-03
1.200000E+00,-2.169772E-03
1.300000E+00,-2.460685E-03
1.400000E+00,-2.730861E-03
1.500000E+00,-2.966564E-03
1.600000E+00,-3.152203E-03
1.700000E+00,-3.270416E-03
1.800000E+00,-3.302259E-03
1.900000E+00,-3.227508E-03
2.000000E+00,-3.025071E-03
2.100000E+00,-2.673516E-03
2.200000E+00,-2.151695E-03
2.300000E+00,-1.439447E-03
2.400000E+00,-5.183655E-04
2.500000E+00,6.274115E-04
2.600000E+00,2.010402E-03
2.700000E+00,3.639015E-03
2.800000E+00,5.516860E-03
2.900000E+00,7.642140E-03
3.000000E+00,1.000719E-02
3.100000E+00,1.259816E-02
3.200000E+00,1.539488E-02
3.300000E+00,1.837092E-02
3.400000E+00,2.149381E-02
3.500000E+00,2.472550E-02
3.600000E+00,2.802297E-02
3.700000E+00,3.133900E-02
3.800000E+00,3.462307E-02
3.900000E+00,3.782238E-02
4.000000E+00,4.088287E-02
4.100000E+00,4.375034E-02
4.200000E+00,4.637148E-02
4.300000E+00,4.869489E-02
4.400000E+00,5.067194E-02
4.500000E+00,5.225756E-02
4.600000E+00,5.341090E-02
4.700000E+00,5.409573E-02
4.800000E+00,5.428082E-02
4.900000E+00,5.394006E-02
5.000000E+00,5.305251E-02
5.100000E+00,5.160231E-02
5.200000E+00,4.957854E-02
5.300000E+00,4.697506E-02
5.400000E+00,4.379033E-02
5.500000E+00,4.002726E-02
5.600000E+00,3.569325E-02
5.700000E+00,3.080017E-02
5.800000E+00,2.536468E-02
5.900000E+00,1.940849E-02
6.000000E+00,1.295891E-02
6.100000E+00,6.049423E-03
6.200000E+00,-1.279596E-03
6.300000E+00,-8.980184E-03
6.400000E+00,-1.699608E-02
6.500000E+00,-2.526211E-02
6.600000E+00,-3.370376E-02
6.700000E+00,-4.223697E-02
6.800000E+00,-5.076828E-02
6.900000E+00,-5.919525E-02
7.000000E+00,-6.740751E-02
7.100000E+00,-7.528803E-02
7.200000E+00,-8.271511E-02
7.300000E+00,-8.956468E-02
7.400000E+00,-9.571312E-02
7.500000E+00,-1.010404E-01
7.600000E+00,-1.054338E-01
7.700000E+00,-1.087912E-01
7.800000E+00,-1.110250E-01
7.900000E+00,-1.120659E-01
8.000000E+00,-1.118663E-01
8.100000E+00,-1.104028E-01
8.200000E+00,-1.076796E-01
8.300000E+00,-1.037293E-01
8.400000E+00,-9.861435E-02
8.500000E+00,-9.242694E-02
8.600000E+00,-8.528797E-02
8.700000E+00,-7.734497E-02
8.800000E+00,-6.876906E-02
8.900000E+00,-5.975084E-02
9.000000E+00,-5.049547E-02
9.100000E+00,-4.121688E-02
9.200000E+00,-3.213145E-02
9.300000E+00,-2.345122E-02
9.400000E+00,-1.537697E-02
9.500000E+00,-8.091303E-03
9.600000E+00,-1.751999E-03
9.700000E+00,3.514043E-03
9.800000E+00,7.616151E-03
9.900000E+00,1.050423E-02
1.000000E+01,1.217196E-02
1.010000E+01,1.265875E-02
1.020000E+01,1.205021E-02
1.030000E+01,1.047726E-02
1.040000E+01,8.113763E-03
1.050000E+01,5.172741E-03
1.060000E+01,1.901332E-03
1.070000E+01,-1.425449E-03
1.080000E+01,-4.511908E-03
1.090000E+01,-7.049638E-03
1.100000E+01,-8.726010E-03
1.110000E+01,-9.232927E-03
1.120000E+01,-8.275589E-03
1.130000E+01,-5.581001E-03
1.140000E+01,-9.059858E-04
1.150000E+01,5.955545E-03
1.160000E+01,1.516624E-02
1.170000E+01,2.684005E-02
1.180000E+01,4.103823E-02
1.190000E+01,5.776666E-02
1.200000E+01,7.697449E-02
1.210000E+01,9.855426E-02
1.220000E+01,1.223433E-01
1.230000E+01,1.481265E-01
1.240000E+01,1.756403E-01
1.250000E+01,2.045776E-01
1.260000E+01,2.345939E-01
1.270000E+01,2.653139E-01
1.280000E+01,2.963390E-01
1.290000E+01,3.272552E-01
1.300000E+01,3.576410E-01
1.310000E+01,3.870760E-01
1.320000E+01,4.151485E-01
1.330000E+01,4.414639E-01
1.340000E+01,4.656517E-01
1.350000E+01,4.873729E-01
1.360000E+01,5.063261E-01
1.370000E+01,5.222527E-01
1.380000E+01,5.349419E-01
1.390000E+01,5.442341E-01
1.400000E+01,5.500230E-01
1.410000E+01,5.522574E-01
1.420000E+01,5.509409E-01
1.430000E+01,5.461307E-01
1.440000E+01,5.379354E-01
1.450000E+01,5.265111E-01
1.460000E+01,5.120566E-01
1.470000E+01,4.948074E-01
1.480000E+01,4.750287E-01
1.490000E+01,4.530080E-01
1.500000E+01,4.290457E-01
1.510000E+01,4.034473E-01
1.520000E+01,3.765135E-01
1.530000E+01,3.485311E-01
1.540000E+01,3.197650E-01
1.550000E+01,2.904490E-01
1.560000E+01,2.607796E-01
1.570000E+01,2.309093E-01
1.580000E+01,2.009423E-01
1.590000E+01,1.709314E-01
1.600000E+01,1.408772E-01
1.610000E+01,1.107286E-01
1.620000E+01,8.038574E-02
1.630000E+01,4.970494E-02
1.640000E+01,1.850524E-02
1.650000E+01,-1.342312E-02
1.660000E+01,-4.630887E-02
1.670000E+01,-8.038867E-02
1.680000E+01,-1.158953E-01
1.690000E+01,-1.530454E-01
1.700000E+01,-1.920276E-01
1.710000E+01,-2.329906E-01
1.720000E+01,-2.760327E-01
1.730000E+01,-3.211927E-01
1.740000E+01,-3.684428E-01
1.750000E+01,-4.176827E-01
1.760000E+01,-4.687376E-01
1.770000E+01,-5.213575E-01
1.780000E+01,-5.752199E-01
1.790000E+01,-6.299349E-01
1.800000E+01,-6.850527E-01
1.810000E+01,-7.400733E-01
1.820000E+01,-7.944589E-01
1.830000E+01,-8.476464E-01
1.840000E+01,-8.990624E-01
1.850000E+01,-9.481380E-01
1.860000E+01,-9.943233E-01
1.870000E+01,-1.037103E+00
1.880000E+01,-1.076007E+00
1.890000E+01,-1.110628E+00
1.900000E+01,-1.140623E+00
1.910000E+01,-1.165729E+00
1.920000E+01,-1.185764E+00
1.930000E+01,-1.200630E+00
1.940000E+01,-1.210314E+00
1.950000E+01,-1.214885E+00
1.960000E+01,-1.214490E+00
1.970000E+01,-1.209345E+00
1.980000E+01,-1.199730E+00
1.990000E+01,-1.185974E+00
2.000000E+01,-1.168449E+00
2.010000E+01,-1.147557E+00
2.020000E+01,-1.123719E+00
2.030000E+01,-1.097361E+00
2.040000E+01,-1.068910E+00
2.050000E+01,-1.038781E+00
2.060000E+01,-1.007369E+00
2.070000E+01,-9.750442E-01
2.080000E+01,-9.421448E-01
2.090000E+01,-9.089758E-01
2.100000E+01,-8.758042E-01
2.110000E+01,-8.428584E-01
2.120000E+01,-8.103272E-01
2.130000E+01,-7.783594E-01
2.140000E+01,-7.470641E-01
2.150000E+01,-7.165105E-01
2.160000E+01,-6.867282E-01
2.170000E+01,-6.577068E-01
2.180000E+01,-6.293953E-01
2.190000E+01,-6.017013E-01
2.200000E+01,-5.744903E-01
2.210000E+01,-5.475841E-01
2.220000E+01,-5.207602E-01
2.230000E+01,-4.937518E-01
2.240000E+01,-4.662479E-01
2.250000E+01,-4.378953E-01
2.260000E+01,-4.083021E-01
2.270000E+01,-3.770424E-01
