t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-2.670245E-09,2.870294E-09,1.125628E-08,-1.119394E-08,-5.364173E-09,4.628175E-09
4.000000E-01,-1.394467E-08,1.369026E-08,6.082320E-08,-5.857775E-08,-2.897234E-08,2.221991E-08
5.000000E-01,-4.340820E-08,3.891591E-08,1.927390E-07,-1.798137E-07,-9.285804E-08,6.373442E-08
6.000000E-01,-1.051267E-07,8.532015E-08,4.720504E-07,-4.255059E-07,-2.312644E-07,1.417051E-07
7.000000E-01,-2.163666E-07,1.566422E-07,9.784511E-07,-8.485093E-07,-4.891743E-07,2.659681E-07
8.000000E-01,-3.974484E-07,2.516648E-07,1.803383E-06,-1.496747E-06,-9.222827E-07,4.422436E-07
9.000000E-01,-6.710915E-07,3.618255E-07,3.044851E-06,-2.403769E-06,-1.595457E-06,6.704037E-07
1.000000E+00,-1.061831E-06,4.690873E-07,4.800944E-06,-3.578728E-06,-2.580431E-06,9.433134E-07
1.100000E+00,-1.595460E-06,5.440579E-07,7.162526E-06,-4.996444E-06,-3.953312E-06,1.245809E-06
1.200000E+00,-2.298649E-06,5.446492E-07,1.020545E-05,-6.588296E-06,-5.792434E-06,1.553840E-06
1.300000E+00,-3.198711E-06,4.154052E-07,1.398293E-05,-8.234645E-06,-8.177014E-06,1.833623E-06
1.400000E+00,-4.323434E-06,8.762798E-08,1.851862E-05,-9.759439E-06,-1.118674E-05,2.040795E-06
1.500000E+00,-5.700807E-06,-5.196626E-07,2.380120E-05,-1.092752E-05,-1.490205E-05,2.119647E-06
1.600000E+00,-7.358449E-06,-1.497981E-06,2.978085E-05,-1.144501E-05,-1.940442E-05,2.002595E-06
1.700000E+00,-9.322580E-06,-2.946968E-06,3.636806E-05,-1.096308E-05,-2.477611E-05,1.610048E-06
1.800000E+00,-1.161647E-05,-4.971498E-06,4.343491E-05,-9.085115E-06,-3.109833E-05,8.508227E-07
1.900000E+00,-1.425842E-05,-7.678546E-06,5.081839E-05,-5.377569E-06,-3.844778E-05,-3.769103E-07
2.000000E+00,-1.725951E-05,-1.117400E-05,5.832550E-05,6.157406E-07,-4.689131E-05,-2.184326E-06
2.100000E+00,-2.062129E-05,-1.555963E-05,6.573926E-05,9.355755E-06,-5.647935E-05,-4.690650E-06
2.200000E+00,-2.433395E-05,-2.093038E-05,7.282489E-05,2.128691E-05,-6.723915E-05,-8.022390E-06
2.300000E+00,-2.837492E-05,-2.737198E-05,7.933557E-05,3.681269E-05,-7.916877E-05,-1.231367E-05
2.400000E+00,-3.270822E-05,-3.495915E-05,8.501718E-05,5.626852E-05,-9.223287E-05,-1.770812E-05
2.500000E+00,-3.728424E-05,-4.375424E-05,8.961204E-05,7.989261E-05,-1.063606E-04,-2.436266E-05
2.600000E+00,-4.203958E-05,-5.380651E-05,9.286177E-05,1.077959E-04,-1.214451E-04,-3.245302E-05
2.700000E+00,-4.689649E-05,-6.515217E-05,9.450979E-05,1.399329E-04,-1.373442E-04,-4.218047E-05
2.800000E+00,-5.176114E-05,-7.781530E-05,9.430412E-05,1.760742E-04,-1.538784E-04,-5.377894E-05
2.900000E+00,-5.652026E-05,-9.180988E-05,9.200092E-05,2.157845E-04,-1.708272E-04,-6.752119E-05
3.000000E+00,-6.103590E-05,-1.071430E-04,8.736928E-05,2.584066E-04,-1.879182E-04,-8.372259E-05
3.100000E+00,-6.513832E-05,-1.238193E-04,8.019687E-05,3.030537E-04,-2.048106E-04,-1.027414E-04
3.200000E+00,-6.861777E-05,-1.418473E-04,7.029596E-05,3.486128E-04,-2.210716E-04,-1.249742E-04
3.300000E+00,-7.121591E-05,-1.612461E-04,5.750856E-05,3.937581E-04,-2.361476E-04,-1.508463E-04
