t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,4.147583E-09,-2.152648E-08,-9.517860E-09,5.410344E-09,1.040816E-08,-1.536494E-08
4.000000E-01,2.123650E-08,-1.057160E-07,-4.822100E-08,2.512826E-08,5.630650E-08,-7.267355E-08
5.000000E-01,6.547336E-08,-3.104653E-07,-1.440988E-07,6.346743E-08,1.807203E-07,-2.063870E-07
6.000000E-01,1.583152E-07,-7.085066E-07,-3.330037E-07,1.096059E-07,4.523841E-07,-4.552746E-07
7.000000E-01,3.280663E-07,-1.369892E-06,-6.501804E-07,1.182346E-07,9.672169E-07,-8.490190E-07
8.000000E-01,6.124248E-07,-2.356668E-06,-1.126645E-06,-8.320044E-09,1.856581E-06,-1.404680E-06
9.000000E-01,1.061370E-06,-3.715706E-06,-1.785398E-06,-4.375950E-07,3.297165E-06,-2.122393E-06
1.000000E+00,1.741191E-06,-5.474507E-06,-2.638724E-06,-1.421616E-06,5.523565E-06,-2.983752E-06
1.100000E+00,2.739276E-06,-7.638940E-06,-3.687163E-06,-3.306577E-06,8.843384E-06,-3.952140E-06
1.200000E+00,4.169413E-06,-1.019377E-05,-4.920560E-06,-6.535817E-06,1.365360E-05,-4.976062E-06
1.300000E+00,6.176888E-06,-1.310546E-05,-6.321788E-06,-1.164456E-05,2.045596E-05,-5.995772E-06
1.400000E+00,8.942470E-06,-1.632678E-05,-7.873614E-06,-1.924538E-05,2.986821E-05,-6.953598E-06
1.500000E+00,1.268429E-05,-1.980220E-05,-9.569042E-06,-3.000397E-05,4.262730E-05,-7.807689E-06
1.600000E+00,1.765676E-05,-2.347334E-05,-1.142497E-05,-4.460564E-05,5.958146E-05,-8.548110E-06
1.700000E+00,2.414601E-05,-2.728367E-05,-1.349845E-05,-6.371399E-05,8.166904E-05,-9.212993E-06
1.800000E+00,3.246201E-05,-3.118210E-05,-1.590399E-05,-8.792389E-05,1.098848E-04,-9.901475E-06
1.900000E+00,4.292794E-05,-3.512598E-05,-1.882986E-05,-1.177120E-04,1.452361E-04,-1.077951E-05
2.000000E+00,5.586809E-05,-3.908391E-05,-2.255094E-05,-1.533882E-04,1.886950E-04,-1.207494E-05
2.100000E+00,7.159544E-05,-4.303932E-05,-2.743576E-05,-1.950504E-04,2.411516E-04,-1.405955E-05
2.200000E+00,9.040007E-05,-4.699526E-05,-3.394613E-05,-2.425463E-04,3.033739E-04,-1.701818E-05
2.300000E+00,1.125389E-04,-5.098001E-05,-4.262890E-05,-2.954435E-04,3.759770E-04,-2.120793E-05
2.400000E+00,1.382269E-04,-5.505204E-05,-5.410069E-05,-3.530082E-04,4.594012E-04,-2.681338E-05
2.500000E+00,1.676282E-04,-5.930183E-05,-6.902787E-05,-4.141944E-04,5.538932E-04,-3.390539E-05
2.600000E+00,2.008473E-04,-6.384749E-05,-8.810463E-05,-4.776446E-04,6.594828E-04,-4.241146E-05
2.700000E+00,2.379185E-04,-6.882136E-05,-1.120323E-04,-5.417021E-04,7.759506E-04,-5.210296E-05
2.800000E+00,2.787940E-04,-7.434637E-05,-1.415021E-04,-6.044399E-04,9.027788E-04,-6.260103E-05
2.900000E+00,3.233319E-04,-8.050298E-05,-1.771816E-04,-6.637067E-04,1.039090E-03,-7.339741E-05
3.000000E+00,3.712856E-04,-8.729043E-05,-2.197046E-04,-7.171931E-04,1.183583E-03,-8.388167E-05
3.100000E+00,4.222976E-04,-9.458838E-05,-2.696606E-04,-7.625172E-04,1.334473E-03,-9.336318E-05
3.200000E+00,4.759002E-04,-1.021260E-04,-3.275816E-04,-7.973246E-04,1.489466E-03,-1.010764E-04
3.300000E+00,5.315251E-04,-1.094656E-04,-3.939215E-04,-8.193965E-04,1.645777E-03,-1.061613E-04
