t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-1.564971E-08,9.532671E-09,8.666578E-09,2.477115E-08,-3.921810E-08,2.597880E-08
4.000000E-01,-8.179738E-08,5.302548E-08,5.266191E-08,1.105304E-07,-2.129552E-07,1.289595E-07
5.000000E-01,-2.530108E-07,1.727731E-07,1.820165E-07,2.908912E-07,-6.773132E-07,3.801484E-07
6.000000E-01,-6.065706E-07,4.351516E-07,4.795353E-07,5.803270E-07,-1.665271E-06,8.658232E-07
7.000000E-01,-1.231792E-06,9.281337E-07,1.060933E-06,9.404315E-07,-3.466619E-06,1.660038E-06
8.000000E-01,-2.225620E-06,1.761724E-06,2.075042E-06,1.263910E-06,-6.419821E-06,2.809312E-06
9.000000E-01,-3.684787E-06,3.065303E-06,3.700808E-06,1.360352E-06,-1.089497E-05,4.313282E-06
1.000000E+00,-5.697815E-06,4.983403E-06,6.141545E-06,9.488241E-07,-1.727096E-05,6.107819E-06
1.100000E+00,-8.336482E-06,7.669387E-06,9.616881E-06,-3.417254E-07,-2.590892E-05,8.050028E-06
1.200000E+00,-1.164786E-05,1.127751E-05,1.435268E-05,-2.963404E-06,-3.712416E-05,9.907068E-06
1.300000E+00,-1.564734E-05,1.595355E-05,2.056931E-05,-7.431595E-06,-5.115960E-05,1.134936E-05
1.400000E+00,-2.031318E-05,2.182458E-05,2.846849E-05,-1.429898E-05,-6.816313E-05,1.194883E-05
1.500000E+00,-2.558302E-05,2.898868E-05,3.821881E-05,-2.412243E-05,-8.817030E-05,1.118217E-05
1.600000E+00,-3.135280E-05,3.750624E-05,4.993975E-05,-3.742433E-05,-1.110928E-04,8.437985E-06
1.700000E+00,-3.747809E-05,4.739473E-05,6.368382E-05,-5.465039E-05,-1.367127E-04,3.026042E-06
1.800000E+00,-4.377754E-05,5.862872E-05,7.941698E-05,-7.612676E-05,-1.646799E-04,-5.813760E-06
1.900000E+00,-5.003699E-05,7.114591E-05,9.699808E-05,-1.020197E-04,-1.945126E-04,-1.890419E-05
2.000000E+00,-5.601223E-05,8.485774E-05,1.161595E-04,-1.323015E-04,-2.255944E-04,-3.712508E-05
2.100000E+00,-6.142777E-05,9.966103E-05,1.364922E-04,-1.667259E-04,-2.571659E-04,-6.140645E-05
2.200000E+00,-6.596968E-05,1.154454E-04,1.574403E-04,-2.048152E-04,-2.883041E-04,-9.271568E-05
2.300000E+00,-6.927224E-05,1.320913E-04,1.783072E-04,-2.458580E-04,-3.178887E-04,-1.320332E-04
2.400000E+00,-7.090074E-05,1.494554E-04,1.982768E-04,-2.889149E-04,-3.445557E-04,-1.803136E-04
2.500000E+00,-7.033558E-05,1.673449E-04,2.164475E-04,-3.328275E-04,-3.666480E-04,-2.384323E-04
2.600000E+00,-6.696438E-05,1.854871E-04,2.318738E-04,-3.762241E-04,-3.821789E-04,-3.071245E-04
2.700000E+00,-6.008926E-05,2.035029E-04,2.436069E-04,-4.175209E-04,-3.888268E-04,-3.869263E-04
2.800000E+00,-4.895312E-05,2.208970E-04,2.507268E-04,-4.549189E-04,-3.839829E-04,-4.781317E-04
2.900000E+00,-3.278509E-05,2.370710E-04,2.523568E-04,-4.864045E-04,-3.648628E-04,-5.807747E-04
3.000000E+00,-1.085930E-05,2.513624E-04,2.476595E-04,-5.097673E-04,-3.286807E-04,-6.946430E-04
3.100000E+00,1.744312E-05,2.631037E-04,2.358164E-04,-5.226490E-04,-2.728706E-04,-8.193194E-04
3.200000E+00,5.258117E-05,2.716890E-04,2.160019E-04,-5.226372E-04,-1.953195E-04,-9.542424E-04
3.300000E+00,9.482182E-05,2.766328E-04,1.873622E-04,-5.074084E-04,-9.457336E-05,-1.098769E-03
