t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,3.812452E-09,9.770729E-08,2.282959E-08,6.556046E-08,1.915118E-10,1.905969E-08
4.000000E-01,1.970629E-08,5.304158E-07,1.354959E-07,3.579080E-07,-1.147695E-09,1.027276E-07
5.000000E-01,6.091258E-08,1.697626E-06,4.621723E-07,1.148026E-06,-9.051080E-09,3.266884E-07
6.000000E-01,1.467502E-07,4.211012E-06,1.209447E-06,2.851595E-06,-3.441391E-08,8.055050E-07
7.000000E-01,3.008843E-07,8.862692E-06,2.671298E-06,6.009433E-06,-9.674705E-08,1.685674E-06
8.000000E-01,5.512533E-07,1.663415E-05,5.240033E-06,1.129390E-05,-2.270348E-07,3.147493E-06
9.000000E-01,9.290924E-07,2.868653E-05,9.413393E-06,1.950678E-05,-4.713667E-07,5.404111E-06
1.000000E+00,1.467677E-06,4.635014E-05,1.579873E-05,3.157527E-05,-8.952947E-07,8.701730E-06
1.100000E+00,2.200504E-06,7.110716E-05,2.511445E-05,4.854540E-05,-1.588858E-06,1.331967E-05
1.200000E+00,3.159034E-06,1.045708E-04,3.818855E-05,7.157293E-05,-2.672101E-06,1.957099E-05
1.300000E+00,4.370035E-06,1.484600E-04,5.595422E-05,1.019111E-04,-4.300767E-06,2.780334E-05
1.400000E+00,5.852660E-06,2.045701E-04,7.944263E-05,1.408945E-04,-6.671752E-06,3.839968E-05
1.500000E+00,7.615439E-06,2.747393E-04,1.097728E-04,1.899191E-04,-1.002780E-05,5.177861E-05
1.600000E+00,9.653404E-06,3.608108E-04,1.481391E-04,2.504166E-04,-1.466094E-05,6.839362E-05
1.700000E+00,1.194556E-05,4.645910E-04,1.957952E-04,3.238244E-04,-2.091416E-05,8.873080E-05
1.800000E+00,1.445287E-05,5.878036E-04,2.540369E-04,4.115496E-04,-2.918108E-05,1.133044E-04
1.900000E+00,1.711702E-05,7.320395E-04,3.241816E-04,5.149288E-04,-3.990329E-05,1.426501E-04
2.000000E+00,1.985984E-05,8.987042E-04,4.075463E-04,6.351833E-04,-5.356556E-05,1.773153E-04
2.100000E+00,2.258366E-05,1.088962E-03,5.054232E-04,7.733719E-04,-7.068920E-05,2.178474E-04
2.200000E+00,2.517222E-05,1.303679E-03,6.190548E-04,9.303419E-04,-9.182391E-05,2.647798E-04
2.300000E+00,2.749226E-05,1.543368E-03,7.496077E-04,1.106682E-03,-1.175390E-04,3.186167E-04
2.400000E+00,2.939540E-05,1.808133E-03,8.981458E-04,1.302677E-03,-1.484145E-04,3.798181E-04
2.500000E+00,3.072006E-05,2.097619E-03,1.065604E-03,1.518270E-03,-1.850329E-04,4.487859E-04
2.600000E+00,3.129324E-05,2.410967E-03,1.252764E-03,1.753033E-03,-2.279722E-04,5.258541E-04
2.700000E+00,3.093184E-05,2.746779E-03,1.460230E-03,2.006148E-03,-2.778004E-04,6.112833E-04
2.800000E+00,2.944329E-05,3.103092E-03,1.688409E-03,2.276406E-03,-3.350723E-04,7.052617E-04
2.900000E+00,2.662531E-05,3.477361E-03,1.937493E-03,2.562217E-03,-4.003272E-04,8.079153E-04
3.000000E+00,2.226470E-05,3.866463E-03,2.207450E-03,2.861640E-03,-4.740891E-04,9.193264E-04
3.100000E+00,1.613504E-05,4.266707E-03,2.498010E-03,3.172439E-03,-5.568670E-04,1.039562E-03
3.200000E+00,7.993302E-06,4.673870E-03,2.808669E-03,3.492148E-03,-6.491567E-04,1.168712E-03
3.300000E+00,-2.424583E-06,5.083233E-03,3.138688E-03,3.818162E-03,-7.514421E-04,1.306935E-03
3.400000E+00,-1.540919E-05,5.489653E-03,3.487106E-03,4.147837E-03,-8.641970E-04,1.454512E-03
