t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-2.697923E-09,-7.514762E-09,-4.173959E-09,-1.696172E-09,-1.368423E-09,-5.647296E-09
4.000000E-01,-1.381043E-08,-3.468557E-08,-1.776298E-08,-1.095586E-08,-5.809285E-09,-3.437699E-08
5.000000E-01,-4.218149E-08,-9.554553E-08,-4.355241E-08,-3.837496E-08,-1.450497E-08,-1.188738E-07
6.000000E-01,-1.003339E-07,-2.023079E-07,-7.710161E-08,-1.005174E-07,-2.728827E-08,-3.138517E-07
7.000000E-01,-2.030726E-07,-3.561526E-07,-9.822775E-08,-2.184804E-07,-4.138643E-08,-6.972112E-07
8.000000E-01,-3.675727E-07,-5.421284E-07,-6.468291E-08,-4.161193E-07,-5.192301E-08,-1.372846E-06
9.000000E-01,-6.132493E-07,-7.228119E-07,9.489106E-08,-7.176725E-07,-5.338883E-08,-2.472209E-06
1.000000E+00,-9.619405E-07,-8.323170E-07,4.880056E-07,-1.145125E-06,-4.239715E-08,-4.155528E-06
1.100000E+00,-1.438248E-06,-7.701727E-07,1.265125E-06,-1.715394E-06,-2.174967E-08,-6.612203E-06
1.200000E+00,-2.070124E-06,-3.953622E-07,2.626055E-06,-2.437321E-06,-5.678493E-09,-1.006037E-05
1.300000E+00,-2.889662E-06,4.795498E-07,4.825675E-06,-3.308256E-06,-2.603294E-08,-1.474531E-05
1.400000E+00,-3.934092E-06,2.094113E-06,8.178766E-06,-4.309899E-06,-1.390875E-07,-2.093651E-05
1.500000E+00,-5.246971E-06,4.745431E-06,1.306365E-05,-5.402988E-06,-4.325955E-07,-2.892304E-05
1.600000E+00,-6.879552E-06,8.793180E-06,1.992435E-05,-6.520449E-06,-1.032694E-06,-3.900711E-05
1.700000E+00,-8.892306E-06,1.466394E-05,2.927092E-05,-7.558754E-06,-2.110271E-06,-5.149567E-05
1.800000E+00,-1.135659E-05,2.285446E-05,4.167758E-05,-8.367448E-06,-3.886440E-06,-6.669018E-05
1.900000E+00,-1.435640E-05,3.393336E-05,5.777845E-05,-8.737100E-06,-6.636769E-06,-8.487479E-05
2.000000E+00,-1.799009E-05,4.854055E-05,7.826037E-05,-8.386243E-06,-1.069398E-05,-1.063034E-04
2.100000E+00,-2.237198E-05,6.738371E-05,1.038526E-04,-6.948172E-06,-1.644881E-05,-1.311861E-04
2.200000E+00,-2.763373E-05,9.123078E-05,1.353134E-04,-3.958705E-06,-2.434872E-05,-1.596761E-04
2.300000E+00,-3.392512E-05,1.208978E-04,1.734125E-04,1.153834E-06,-3.489426E-05,-1.918579E-04
2.400000E+00,-4.141424E-05,1.572310E-04,2.189111E-04,9.075163E-06,-4.863271E-05,-2.277368E-04
2.500000E+00,-5.028672E-05,2.010826E-04,2.725372E-04,2.060693E-05,-6.614886E-05,-2.672322E-04
2.600000E+00,-6.074387E-05,2.532803E-04,3.349588E-04,3.666305E-05,-8.805278E-05,-3.101738E-04
2.700000E+00,-7.299965E-05,3.145891E-04,4.067533E-04,5.825981E-05,-1.149645E-04,-3.563012E-04
2.800000E+00,-8.727632E-05,3.856674E-04,4.883754E-04,8.649954E-05,-1.474959E-04,-4.052684E-04
2.900000E+00,-1.037990E-04,4.670171E-04,5.801229E-04,1.225479E-04,-1.862298E-04,-4.566506E-04
3.000000E+00,-1.227891E-04,5.589293E-04,6.821017E-04,1.676052E-04,-2.316976E-04,-5.099551E-04
3.100000E+00,-1.444569E-04,6.614274E-04,7.941915E-04,2.228725E-04,-2.843552E-04,-5.646339E-04
3.200000E+00,-1.689943E-04,7.742093E-04,9.160118E-04,2.895128E-04,-3.445590E-04,-6.200968E-04
3.300000E+00,-1.965668E-04,8.965914E-04,1.046890E-03,3.686092E-04,-4.125426E-04,-6.757252E-04
