t (s),<greek>z</greek> (m)
1.000000E-01,0.000000E+00
2.000000E-01,9.225918E-06
3.000000E-01,3.728018E-05
4.000000E-01,8.447301E-05
5.000000E-01,1.509186E-04
6.000000E-01,2.367548E-04
7.000000E-01,3.424011E-04
8.000000E-01,4.688341E-04
9.000000E-01,6.178500E-04
1.000000E+00,7.922799E-04
1.100000E+00,9.961180E-04
1.200000E+00,1.234527E-03
1.300000E+00,1.513692E-03
1.400000E+00,1.840506E-03
1.500000E+00,2.222082E-03
1.600000E+00,2.665118E-03
1.700000E+00,3.175137E-03
1.800000E+00,3.755670E-03
1.900000E+00,4.407444E-03
2.000000E+00,5.127654E-03
2.100000E+00,5.909409E-03
2.200000E+00,6.741411E-03
2.300000E+00,7.607955E-03
2.400000E+00,8.489275E-03
2.500000E+00,9.362260E-03
2.600000E+00,1.020152E-02
2.700000E+00,1.098074E-02
2.800000E+00,1.167430E-02
2.900000E+00,1.225896E-02
3.000000E+00,1.271550E-02
3.100000E+00,1.303029E-02
3.200000E+00,1.319647E-02
3.300000E+00,1.321473E-02
3.400000E+00,1.309351E-02
3.500000E+00,1.284868E-02
3.600000E+00,1.250253E-02
3.700000E+00,1.208216E-02
3.800000E+00,1.161737E-02
3.900000E+00,1.113821E-02
4.000000E+00,1.067224E-02
4.100000E+00,1.024181E-02
4.200000E+00,9.861611E-03
4.300000E+00,9.536533E-03
4.400000E+00,9.260265E-03
4.500000E+00,9.014616E-03
4.600000E+00,8.769755E-03
4.700000E+00,8.485404E-03
4.800000E+00,8.112946E-03
4.900000E+00,7.598364E-03
5.000000E+00,6.885843E-03
5.100000E+00,5.921809E-03
5.200000E+00,4.659122E-03
5.300000E+00,3.061144E-03
5.400000E+00,1.105353E-03
5.500000E+00,-1.213763E-03
5.600000E+00,-3.882801E-03
5.700000E+00,-6.868706E-03
5.800000E+00,-1.011931E-02
5.900000E+00,-1.356520E-02
6.000000E+00,-1.712281E-02
6.100000E+00,-2.069857E-02
6.200000E+00,-2.419402E-02
6.300000E+00,-2.751130E-02
6.400000E+00,-3.055899E-02
6.500000E+00,-3.325764E-02
6.600000E+00,-3.554482E-02
6.700000E+00,-3.737926E-02
6.800000E+00,-3.874379E-02
6.900000E+00,-3.964689E-02
7.000000E+00,-4.012269E-02
7.100000E+00,-4.022951E-02
7.200000E+00,-4.004683E-02
7.300000E+00,-3.967107E-02
7.400000E+00,-3.921031E-02
7.500000E+00,-3.877836E-02
7.600000E+00,-3.848845E-02
7.700000E+00,-3.844715E-02
7.800000E+00,-3.874866E-02
7.900000E+00,-3.946998E-02
8.000000E+00,-4.066726E-02
8.100000E+00,-4.237341E-02
8.200000E+00,-4.459736E-02
8.300000E+00,-4.732465E-02
8.400000E+00,-5.051959E-02
8.500000E+00,-5.412861E-02
8.600000E+00,-5.808470E-02
8.700000E+00,-6.231250E-02
8.800000E+00,-6.673370E-02
8.900000E+00,-7.127247E-02
9.000000E+00,-7.586041E-02
9.100000E+00,-8.044081E-02
9.200000E+00,-8.497177E-02
9.300000E+00,-8.942812E-02
9.400000E+00,-9.380191E-02
9.500000E+00,-9.810148E-02
9.600000E+00,-1.023491E-01
9.700000E+00,-1.065772E-01
9.800000E+00,-1.108240E-01
9.900000E+00,-1.151280E-01
1.000000E+01,-1.195219E-01
1.010000E+01,-1.240270E-01
1.020000E+01,-1.286476E-01
1.030000E+01,-1.333661E-01
1.040000E+01,-1.381391E-01
1.050000E+01,-1.428948E-01
1.060000E+01,-1.475321E-01
1.070000E+01,-1.519212E-01
1.080000E+01,-1.559057E-01
1.090000E+01,-1.593068E-01
1.100000E+01,-1.619287E-01
1.110000E+01,-1.635657E-01
1.120000E+01,-1.640099E-01
1.130000E+01,-1.630600E-01
1.140000E+01,-1.605305E-01
1.150000E+01,-1.562606E-01
1.160000E+01,-1.501225E-01
1.170000E+01,-1.420296E-01
1.180000E+01,-1.319423E-01
1.190000E+01,-1.198727E-01
1.200000E+01,-1.058877E-01
1.210000E+01,-9.010952E-02
1.220000E+01,-7.271382E-02
1.230000E+01,-5.392612E-02
1.240000E+01,-3.401564E-02
1.250000E+01,-1.328727E-02
1.260000E+01,7.928069E-03
1.270000E+01,2.928446E-02
1.280000E+01,5.043281E-02
1.290000E+01,7.103295E-02
1.300000E+01,9.076561E-02
1.310000E+01,1.093435E-01
1.320000E+01,1.265214E-01
1.330000E+01,1.421039E-01
1.340000E+01,1.559515E-01
1.350000E+01,1.679844E-01
1.360000E+01,1.781828E-01
1.370000E+01,1.865858E-01
1.380000E+01,1.932868E-01
1.390000E+01,1.984269E-01
