t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-9.362717E-09,-7.067881E-08,6.580124E-10,-2.135674E-08,-3.332656E-08,2.119787E-08
4.000000E-01,-5.135377E-08,-3.749062E-07,-7.361389E-09,-1.022251E-07,-1.802370E-07,1.221127E-07
5.000000E-01,-1.658537E-07,-1.176593E-06,-5.030123E-08,-2.912152E-07,-5.734749E-07,4.085720E-07
6.000000E-01,-4.149842E-07,-2.864162E-06,-1.823012E-07,-6.412088E-07,-1.413389E-06,1.052891E-06
7.000000E-01,-8.809103E-07,-5.914678E-06,-4.946527E-07,-1.186819E-06,-2.954454E-06,2.293878E-06
8.000000E-01,-1.667345E-06,-1.088779E-05,-1.121470E-06,-1.933545E-06,-5.503711E-06,4.443441E-06
9.000000E-01,-2.899075E-06,-1.840578E-05,-2.244326E-06,-2.845149E-06,-9.413581E-06,7.887606E-06
1.000000E+00,-4.721058E-06,-2.913343E-05,-4.095299E-06,-3.832572E-06,-1.507158E-05,1.308503E-05
1.100000E+00,-7.296458E-06,-4.375388E-05,-6.958588E-06,-4.744524E-06,-2.288744E-05,2.056147E-05
1.200000E+00,-1.080387E-05,-6.294378E-05,-1.117091E-05,-5.360228E-06,-3.327751E-05,3.090070E-05
1.300000E+00,-1.543358E-05,-8.734776E-05,-1.712085E-05,-5.384565E-06,-4.664688E-05,4.473138E-05
1.400000E+00,-2.138298E-05,-1.175536E-04,-2.524749E-05,-4.445853E-06,-6.336939E-05,6.271012E-05
1.500000E+00,-2.885109E-05,-1.540690E-04,-3.603845E-05,-2.096449E-06,-8.376615E-05,8.550079E-05
1.600000E+00,-3.803227E-05,-1.973005E-04,-5.002754E-05,2.183681E-06,-1.080829E-04,1.137502E-04
1.700000E+00,-4.910928E-05,-2.475361E-04,-6.779231E-05,8.980295E-06,-1.364668E-04,1.480608E-04
1.800000E+00,-6.224577E-05,-3.049309E-04,-8.995147E-05,1.893503E-05,-1.689435E-04,1.889605E-04
1.900000E+00,-7.757837E-05,-3.694980E-04,-1.171624E-04,3.273228E-05,-2.053950E-04,2.368703E-04
2.000000E+00,-9.520864E-05,-4.411026E-04,-1.501184E-04,5.108283E-05,-2.455389E-04,2.920714E-04
2.100000E+00,-1.151949E-04,-5.194617E-04,-1.895467E-04,7.470413E-05,-2.889100E-04,3.546710E-04
2.200000E+00,-1.375446E-04,-6.041477E-04,-2.362051E-04,1.042974E-04,-3.348448E-04,4.245695E-04
2.300000E+00,-1.622067E-04,-6.945955E-04,-2.908792E-04,1.405214E-04,-3.824697E-04,5.014289E-04
2.400000E+00,-1.890653E-04,-7.901137E-04,-3.543791E-04,1.839637E-04,-4.306931E-04,5.846443E-04
2.500000E+00,-2.179339E-04,-8.898986E-04,-4.275348E-04,2.351091E-04,-4.782024E-04,6.733197E-04
2.600000E+00,-2.485509E-04,-9.930491E-04,-5.111907E-04,2.943056E-04,-5.234664E-04,7.662485E-04
2.700000E+00,-2.805767E-04,-1.098584E-03,-6.061993E-04,3.617295E-04,-5.647420E-04,8.619012E-04
2.800000E+00,-3.135920E-04,-1.205460E-03,-7.134123E-04,4.373496E-04,-6.000875E-04,9.584194E-04
2.900000E+00,-3.470979E-04,-1.312587E-03,-8.336714E-04,5.208910E-04,-6.273806E-04,1.053619E-03
3.000000E+00,-3.805178E-04,-1.418841E-03,-9.677956E-04,6.118010E-04,-6.443418E-04,1.145004E-03
3.100000E+00,-4.132011E-04,-1.523085E-03,-1.116568E-03,7.092175E-04,-6.485634E-04,1.229783E-03
3.200000E+00,-4.444281E-04,-1.624171E-03,-1.280719E-03,8.119405E-04,-6.375419E-04,1.304906E-03
3.300000E+00,-4.734178E-04,-1.720954E-03,-1.460911E-03,9.184105E-04,-6.087154E-04,1.367102E-03
