t (s),<greek>z</greek> (m)
1.000000E-01,0.000000E+00
2.000000E-01,1.736640E-05
3.000000E-01,6.602062E-05
4.000000E-01,1.397601E-04
5.000000E-01,2.312985E-04
6.000000E-01,3.326654E-04
7.000000E-01,4.356050E-04
8.000000E-01,5.319340E-04
9.000000E-01,6.138219E-04
1.000000E+00,6.739712E-04
1.100000E+00,7.056946E-04
1.200000E+00,7.029024E-04
1.300000E+00,6.600317E-04
1.400000E+00,5.719598E-04
1.500000E+00,4.339384E-04
1.600000E+00,2.415829E-04
1.700000E+00,-9.076914E-06
1.800000E+00,-3.214965E-04
1.900000E+00,-6.985091E-04
2.000000E+00,-1.142273E-03
2.100000E+00,-1.654347E-03
2.200000E+00,-2.235960E-03
2.300000E+00,-2.888530E-03
2.400000E+00,-3.614438E-03
2.500000E+00,-4.418014E-03
2.600000E+00,-5.306659E-03
2.700000E+00,-6.291921E-03
2.800000E+00,-7.390374E-03
2.900000E+00,-8.624042E-03
3.000000E+00,-1.002021E-02
3.100000E+00,-1.161039E-02
3.200000E+00,-1.342847E-02
3.300000E+00,-1.550782E-02
3.400000E+00,-1.787781E-02
3.500000E+00,-2.055961E-02
3.600000E+00,-2.356194E-02
3.700000E+00,-2.687702E-02
3.800000E+00,-3.047732E-02
3.900000E+00,-3.431338E-02
4.000000E+00,-3.831348E-02
4.100000E+00,-4.238496E-02
4.200000E+00,-4.641775E-02
4.300000E+00,-5.028975E-02
4.400000E+00,-5.387377E-02
4.500000E+00,-5.704567E-02
4.600000E+00,-5.969289E-02
4.700000E+00,-6.172259E-02
4.800000E+00,-6.306872E-02
4.900000E+00,-6.369702E-02
5.000000E+00,-6.360760E-02
5.100000E+00,-6.283448E-02
5.200000E+00,-6.144206E-02
5.300000E+00,-5.951867E-02
5.400000E+00,-5.716767E-02
5.500000E+00,-5.449685E-02
5.600000E+00,-5.160710E-02
5.700000E+00,-4.858141E-02
5.800000E+00,-4.547528E-02
5.900000E+00,-4.230954E-02
6.000000E+00,-3.906643E-02
6.100000E+00,-3.568930E-02
6.200000E+00,-3.208618E-02
6.300000E+00,-2.813704E-02
6.400000E+00,-2.370402E-02
6.500000E+00,-1.864382E-02
6.600000E+00,-1.282114E-02
6.700000E+00,-6.121938E-03
6.800000E+00,1.534807E-03
6.900000E+00,1.018776E-02
7.000000E+00,1.982734E-02
7.100000E+00,3.039371E-02
7.200000E+00,4.177886E-02
7.300000E+00,5.383251E-02
7.400000E+00,6.637127E-02
7.500000E+00,7.919017E-02
7.600000E+00,9.207539E-02
7.700000E+00,1.048171E-01
7.800000E+00,1.172212E-01
7.900000E+00,1.291187E-01
8.000000E+00,1.403723E-01
8.100000E+00,1.508796E-01
8.200000E+00,1.605721E-01
8.300000E+00,1.694115E-01
8.400000E+00,1.773828E-01
8.500000E+00,1.844848E-01
8.600000E+00,1.907200E-01
8.700000E+00,1.960843E-01
8.800000E+00,2.005571E-01
8.900000E+00,2.040942E-01
9.000000E+00,2.066226E-01
9.100000E+00,2.080389E-01
9.200000E+00,2.082114E-01
9.300000E+00,2.069854E-01
9.400000E+00,2.041921E-01
9.500000E+00,1.996606E-01
9.600000E+00,1.932318E-01
9.700000E+00,1.847736E-01
9.800000E+00,1.741970E-01
9.900000E+00,1.614711E-01
1.000000E+01,1.466362E-01
1.010000E+01,1.298154E-01
1.020000E+01,1.112208E-01
1.030000E+01,9.115680E-02
1.040000E+01,7.001687E-02
1.050000E+01,4.827585E-02
1.060000E+01,2.647570E-02
1.070000E+01,5.206046E-03
1.080000E+01,-1.492041E-02
1.090000E+01,-3.329642E-02
1.100000E+01,-4.935147E-02
1.110000E+01,-6.258386E-02
1.120000E+01,-7.259166E-02
1.130000E+01,-7.910039E-02
1.140000E+01,-8.198503E-02
1.150000E+01,-8.128435E-02
1.160000E+01,-7.720587E-02
1.170000E+01,-7.012032E-02
1.180000E+01,-6.054500E-02
1.190000E+01,-4.911660E-02
1.200000E+01,-3.655479E-02
1.210000E+01,-2.361870E-02
1.220000E+01,-1.105949E-02
