t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,4.728378E-09,-4.617900E-09,5.884706E-09,-7.537326E-09,1.240759E-08,-1.240328E-08
4.000000E-01,2.746445E-08,-2.667707E-08,2.400641E-08,-3.591626E-08,7.273222E-08,-7.387178E-08
5.000000E-01,9.209924E-08,-8.945975E-08,5.685460E-08,-1.019084E-07,2.456287E-07,-2.509338E-07
6.000000E-01,2.373376E-07,-2.311371E-07,9.772939E-08,-2.244735E-07,6.371678E-07,-6.510430E-07
7.000000E-01,5.164248E-07,-5.052083E-07,1.221602E-07,-4.190954E-07,1.395783E-06,-1.420048E-06
8.000000E-01,9.983684E-07,-9.827055E-07,8.431686E-08,-6.984594E-07,2.716192E-06,-2.742057E-06
9.000000E-01,1.768018E-06,-1.753570E-06,-8.641658E-08,-1.074847E-06,4.840443E-06,-4.835374E-06
1.000000E+00,2.925708E-06,-2.928015E-06,-4.880884E-07,-1.565146E-06,8.056284E-06,-7.946684E-06
1.100000E+00,4.586125E-06,-4.637640E-06,-1.248184E-06,-2.197834E-06,1.269284E-05,-1.234259E-05
1.200000E+00,6.876468E-06,-7.036521E-06,-2.525115E-06,-3.020954E-06,1.911355E-05,-1.829857E-05
1.300000E+00,9.933853E-06,-1.030224E-05,-4.509065E-06,-4.109730E-06,2.770680E-05,-2.608486E-05
1.400000E+00,1.390191E-05,-1.463676E-05,-7.421937E-06,-5.572367E-06,3.887456E-05,-3.594924E-05
1.500000E+00,1.892654E-05,-2.026688E-05,-1.151611E-05,-7.552761E-06,5.301936E-05,-4.809677E-05
1.600000E+00,2.515080E-05,-2.744378E-05,-1.707173E-05,-1.022931E-05,7.052954E-05,-6.266763E-05
1.700000E+00,3.270875E-05,-3.644118E-05,-2.439253E-05,-1.380975E-05,9.176234E-05,-7.971416E-05
1.800000E+00,4.171842E-05,-4.755143E-05,-3.380015E-05,-1.852282E-05,1.170243E-04,-9.917918E-05
1.900000E+00,5.227385E-05,-6.107944E-05,-4.562736E-05,-2.460810E-05,1.465483E-04,-1.208773E-04
2.000000E+00,6.443665E-05,-7.733424E-05,-6.021059E-05,-3.230619E-05,1.804678E-04,-1.444812E-04
2.100000E+00,7.822749E-05,-9.661866E-05,-7.788213E-05,-4.185088E-05,2.187881E-04,-1.695129E-04
2.200000E+00,9.361831E-05,-1.192180E-04,-9.896240E-05,-5.346483E-05,2.613580E-04,-1.953417E-04
2.300000E+00,1.105260E-04,-1.453887E-04,-1.237526E-04,-6.735918E-05,3.078447E-04,-2.211863E-04
2.400000E+00,1.288086E-04,-1.753481E-04,-1.525277E-04,-8.373592E-05,3.577143E-04,-2.461209E-04
2.500000E+00,1.482639E-04,-2.092663E-04,-1.855301E-04,-1.027911E-04,4.102232E-04,-2.690828E-04
2.600000E+00,1.686314E-04,-2.472610E-04,-2.229636E-04,-1.247159E-04,4.644220E-04,-2.888808E-04
2.700000E+00,1.895973E-04,-2.893940E-04,-2.649888E-04,-1.496917E-04,5.191725E-04,-3.042045E-04
2.800000E+00,2.108007E-04,-3.356702E-04,-3.117183E-04,-1.778778E-04,5.731762E-04,-3.136331E-04
2.900000E+00,2.318409E-04,-3.860366E-04,-3.632144E-04,-2.093895E-04,6.250115E-04,-3.156485E-04
3.000000E+00,2.522849E-04,-4.403805E-04,-4.194867E-04,-2.442684E-04,6.731726E-04,-3.086523E-04
3.100000E+00,2.716726E-04,-4.985256E-04,-4.804925E-04,-2.824480E-04,7.161059E-04,-2.909907E-04
3.200000E+00,2.895215E-04,-5.602255E-04,-5.461364E-04,-3.237201E-04,7.522397E-04,-2.609876E-04
3.300000E+00,3.053290E-04,-6.251553E-04,-6.162706E-04,-3.677080E-04,7.800038E-04,-2.169868E-04
