t (s),<greek>z</greek> (m)
1.000000E-01,0.000000E+00
2.000000E-01,-2.879468E-05
3.000000E-01,-1.156751E-04
4.000000E-01,-2.623041E-04
5.000000E-01,-4.709015E-04
6.000000E-01,-7.432458E-04
7.000000E-01,-1.079582E-03
8.000000E-01,-1.477315E-03
9.000000E-01,-1.929294E-03
1.000000E+00,-2.421734E-03
1.100000E+00,-2.932185E-03
1.200000E+00,-3.428359E-03
1.300000E+00,-3.868686E-03
1.400000E+00,-4.205193E-03
1.500000E+00,-4.388665E-03
1.600000E+00,-4.375292E-03
1.700000E+00,-4.133463E-03
1.800000E+00,-3.649297E-03
1.900000E+00,-2.929838E-03
2.000000E+00,-2.003658E-03
2.100000E+00,-9.193095E-04
2.200000E+00,2.575064E-04
2.300000E+00,1.447340E-03
2.400000E+00,2.560939E-03
2.500000E+00,3.504530E-03
2.600000E+00,4.187724E-03
2.700000E+00,4.535061E-03
2.800000E+00,4.500929E-03
2.900000E+00,4.085724E-03
3.000000E+00,3.349108E-03
3.100000E+00,2.415204E-03
3.200000E+00,1.465070E-03
3.300000E+00,7.142610E-04
3.400000E+00,3.772831E-04
3.500000E+00,6.251866E-04
3.600000E+00,1.546050E-03
3.700000E+00,3.119246E-03
3.800000E+00,5.212375E-03
3.900000E+00,7.604728E-03
4.000000E+00,1.003430E-02
4.100000E+00,1.225855E-02
4.200000E+00,1.411456E-02
4.300000E+00,1.556345E-02
4.400000E+00,1.670737E-02
4.500000E+00,1.777468E-02
4.600000E+00,1.907734E-02
4.700000E+00,2.095222E-02
4.800000E+00,2.370225E-02
4.900000E+00,2.755237E-02
5.000000E+00,3.263037E-02
5.100000E+00,3.897395E-02
5.200000E+00,4.655681E-02
5.300000E+00,5.532083E-02
5.400000E+00,6.519954E-02
5.500000E+00,7.612219E-02
5.600000E+00,8.799528E-02
5.700000E+00,1.006676E-01
5.800000E+00,1.138915E-01
5.900000E+00,1.272960E-01
6.000000E+00,1.403844E-01
6.100000E+00,1.525602E-01
6.200000E+00,1.631762E-01
6.300000E+00,1.715934E-01
6.400000E+00,1.772316E-01
6.500000E+00,1.795973E-01
6.600000E+00,1.782851E-01
6.700000E+00,1.729577E-01
6.800000E+00,1.633241E-01
6.900000E+00,1.491375E-01
7.000000E+00,1.302330E-01
7.100000E+00,1.066103E-01
7.200000E+00,7.855047E-02
7.300000E+00,4.673458E-02
7.400000E+00,1.232401E-02
7.500000E+00,-2.304121E-02
7.600000E+00,-5.735269E-02
7.700000E+00,-8.845377E-02
7.800000E+00,-1.143388E-01
7.900000E+00,-1.334723E-01
8.000000E+00,-1.450551E-01
8.100000E+00,-1.491660E-01
8.200000E+00,-1.467366E-01
8.300000E+00,-1.393524E-01
8.400000E+00,-1.289228E-01
8.500000E+00,-1.172985E-01
8.600000E+00,-1.059330E-01
8.700000E+00,-9.567810E-02
8.800000E+00,-8.676785E-02
8.900000E+00,-7.899444E-02
9.000000E+00,-7.202180E-02
9.100000E+00,-6.574097E-02
9.200000E+00,-6.055315E-02
9.300000E+00,-5.748208E-02
9.400000E+00,-5.806370E-02
9.500000E+00,-6.402495E-02
9.600000E+00,-7.682792E-02
9.700000E+00,-9.720098E-02
9.800000E+00,-1.247903E-01
9.900000E+00,-1.580390E-01
1.000000E+01,-1.943417E-01
1.010000E+01,-2.304496E-01
1.020000E+01,-2.630296E-01
1.030000E+01,-2.892421E-01
1.040000E+01,-3.071943E-01
1.050000E+01,-3.161682E-01
1.060000E+01,-3.165852E-01
1.070000E+01,-3.097478E-01
1.080000E+01,-2.974574E-01
1.090000E+01,-2.816365E-01
1.100000E+01,-2.640654E-01
1.110000E+01,-2.462919E-01
1.120000E+01,-2.296977E-01
1.130000E+01,-2.156416E-01
1.140000E+01,-2.055582E-01
1.150000E+01,-2.009063E-01
1.160000E+01,-2.029074E-01
1.170000E+01,-2.121052E-01
1.180000E+01,-2.278613E-01
1.190000E+01,-2.479578E-01
1.200000E+01,-2.684884E-01
1.210000E+01,-2.841612E-01
1.220000E+01,-2.890311E-01
1.230000E+01,-2.775537E-01
1.240000E+01,-2.457397E-01
1.250000E+01,-1.921293E-01
1.260000E+01,-1.183235E-01
1.270000E+01,-2.889954E-02
1.280000E+01,6.930931E-02
1.290000E+01,1.684272E-01
1.300000E+01,2.609655E-01
1.310000E+01,3.411282E-01
1.320000E+01,4.056812E-01
1.330000E+01,4.541893E-01
1.340000E+01,4.885917E-01
1.350000E+01,5.122678E-01
1.360000E+01,5.288739E-01
1.370000E+01,5.412865E-01
1.380000E+01,5.509387E-01
1.390000E+01,5.577122E-01
1.400000E+01,5.603721E-01
1.410000E+01,5.573701E-01
1.420000E+01,5.477351E-01
1.430000E+01,5.317498E-01
1.440000E+01,5.111865E-01
1.450000E+01,4.890186E-01
1.460000E+01,4.686873E-01
1.470000E+01,4.531442E-01
1.480000E+01,4.439564E-01
1.490000E+01,4.407428E-01
1.500000E+01,4.411061E-01
1.510000E+01,4.410766E-01
1.520000E+01,4.359348E-01
1.530000E+01,4.211741E-01
1.540000E+01,3.933406E-01
1.550000E+01,3.505423E-01
1.560000E+01,2.925351E-01
1.570000E+01,2.204382E-01
1.580000E+01,1.362391E-01
1.590000E+01,4.230701E-02
1.600000E+01,-5.889552E-02
1.610000E+01,-1.648035E-01
1.620000E+01,-2.724744E-01
1.630000E+01,-3.781964E-01
1.640000E+01,-4.772005E-01
1.650000E+01,-5.636865E-01
1.660000E+01,-6.312912E-01
1.670000E+01,-6.739878E-01
1.680000E+01,-6.872558E-01
1.690000E+01,-6.692493E-01
1.700000E+01,-6.216472E-01
1.710000E+01,-5.499183E-01
1.720000E+01,-4.628570E-01
1.730000E+01,-3.714179E-01
1.740000E+01,-2.870466E-01
1.750000E+01,-2.198318E-01
1.760000E+01,-1.768519E-01
1.770000E+01,-1.610507E-01
1.780000E+01,-1.708615E-01
1.790000E+01,-2.006385E-01
1.800000E+01,-2.417903E-01
1.810000E+01,-2.843761E-01
1.820000E+01,-3.188510E-01
1.830000E+01,-3.376408E-01
1.840000E+01,-3.362843E-01
