t (s),<greek>z</greek> (m)
1.000000E-01,0.000000E+00
2.000000E-01,-3.553783E-06
3.000000E-01,-7.745810E-06
4.000000E-01,-2.578722E-06
5.000000E-01,2.166045E-05
6.000000E-01,7.347988E-05
7.000000E-01,1.592212E-04
8.000000E-01,2.821250E-04
9.000000E-01,4.415001E-04
1.000000E+00,6.320787E-04
1.100000E+00,8.436330E-04
1.200000E+00,1.060924E-03
1.300000E+00,1.264032E-03
1.400000E+00,1.429103E-03
1.500000E+00,1.529505E-03
1.600000E+00,1.537374E-03
1.700000E+00,1.425475E-03
1.800000E+00,1.169296E-03
1.900000E+00,7.492396E-04
2.000000E+00,1.527687E-04
2.100000E+00,-6.236525E-04
2.200000E+00,-1.572991E-03
2.300000E+00,-2.676609E-03
2.400000E+00,-3.903890E-03
2.500000E+00,-5.212647E-03
2.600000E+00,-6.550359E-03
2.700000E+00,-7.856255E-03
2.800000E+00,-9.064198E-03
2.900000E+00,-1.010626E-02
3.000000E+00,-1.091681E-02
3.100000E+00,-1.143694E-02
3.200000E+00,-1.161891E-02
3.300000E+00,-1.143036E-02
3.400000E+00,-1.085799E-02
3.500000E+00,-9.910412E-03
3.600000E+00,-8.619932E-03
3.700000E+00,-7.043001E-03
3.800000E+00,-5.259248E-03
3.900000E+00,-3.368998E-03
4.000000E+00,-1.489316E-03
4.100000E+00,2.513074E-04
4.200000E+00,1.719398E-03
4.300000E+00,2.783770E-03
4.400000E+00,3.323235E-03
4.500000E+00,3.234321E-03
4.600000E+00,2.438531E-03
4.700000E+00,8.886782E-04
4.800000E+00,-1.426139E-03
4.900000E+00,-4.477303E-03
5.000000E+00,-8.195475E-03
5.100000E+00,-1.247160E-02
5.200000E+00,-1.716016E-02
5.300000E+00,-2.208467E-02
5.400000E+00,-2.704503E-02
5.500000E+00,-3.182655E-02
5.600000E+00,-3.621007E-02
5.700000E+00,-3.998267E-02
5.800000E+00,-4.294828E-02
5.900000E+00,-4.493762E-02
6.000000E+00,-4.581684E-02
6.100000E+00,-4.549427E-02
6.200000E+00,-4.392486E-02
6.300000E+00,-4.111195E-02
6.400000E+00,-3.710633E-02
6.500000E+00,-3.200240E-02
6.600000E+00,-2.593195E-02
6.700000E+00,-1.905561E-02
6.800000E+00,-1.155279E-02
6.900000E+00,-3.610677E-03
7.000000E+00,4.587003E-03
7.100000E+00,1.287051E-02
7.200000E+00,2.109326E-02
7.300000E+00,2.913888E-02
7.400000E+00,3.692550E-02
7.500000E+00,4.440702E-02
7.600000E+00,5.157107E-02
7.700000E+00,5.843361E-02
7.800000E+00,6.503073E-02
7.900000E+00,7.140791E-02
8.000000E+00,7.760762E-02
8.100000E+00,8.365622E-02
8.200000E+00,8.955103E-02
8.300000E+00,9.524889E-02
8.400000E+00,1.006571E-01
8.500000E+00,1.056276E-01
8.600000E+00,1.099561E-01
8.700000E+00,1.133845E-01
8.800000E+00,1.156100E-01
8.900000E+00,1.162980E-01
9.000000E+00,1.150994E-01
9.100000E+00,1.116727E-01
9.200000E+00,1.057071E-01
9.300000E+00,9.694762E-02
9.400000E+00,8.521982E-02
9.500000E+00,7.045190E-02
9.600000E+00,5.269321E-02
9.700000E+00,3.212733E-02
9.800000E+00,9.078352E-03
9.900000E+00,-1.599063E-02
1.000000E+01,-4.248738E-02
1.010000E+01,-6.970891E-02
1.020000E+01,-9.686792E-02
1.030000E+01,-1.231263E-01
1.040000E+01,-1.476346E-01
1.050000E+01,-1.695744E-01
1.060000E+01,-1.882036E-01
1.070000E+01,-2.028989E-01
1.080000E+01,-2.131960E-01
1.090000E+01,-2.188227E-01
1.100000E+01,-2.197241E-01
1.110000E+01,-2.160762E-01
1.120000E+01,-2.082885E-01
1.130000E+01,-1.969929E-01
1.140000E+01,-1.830200E-01
1.150000E+01,-1.673630E-01
1.160000E+01,-1.511301E-01
1.170000E+01,-1.354888E-01
1.180000E+01,-1.216033E-01
1.190000E+01,-1.105694E-01
1.200000E+01,-1.033506E-01
1.210000E+01,-1.007169E-01
1.220000E+01,-1.031940E-01
1.230000E+01,-1.110212E-01
1.240000E+01,-1.241259E-01
1.250000E+01,-1.421124E-01
1.260000E+01,-1.642688E-01
1.270000E+01,-1.895927E-01
1.280000E+01,-2.168323E-01
1.290000E+01,-2.445442E-01
1.300000E+01,-2.711634E-01
1.310000E+01,-2.950826E-01
1.320000E+01,-3.147372E-01
1.330000E+01,-3.286900E-01
1.340000E+01,-3.357126E-01
1.350000E+01,-3.348572E-01
1.360000E+01,-3.255164E-01
1.370000E+01,-3.074651E-01
1.380000E+01,-2.808833E-01
1.390000E+01,-2.463578E-01
1.400000E+01,-2.048612E-01
1.410000E+01,-1.577100E-01
1.420000E+01,-1.065029E-01
1.430000E+01,-5.304243E-02
1.440000E+01,7.559970E-04
1.450000E+01,5.296269E-02
1.460000E+01,1.017351E-01
1.470000E+01,1.454159E-01
1.480000E+01,1.826229E-01
1.490000E+01,2.123249E-01
1.500000E+01,2.338995E-01
1.510000E+01,2.471701E-01
1.520000E+01,2.524180E-01
1.530000E+01,2.503712E-01
1.540000E+01,2.421673E-01
1.550000E+01,2.292956E-01
1.560000E+01,2.135187E-01
1.570000E+01,1.967793E-01
1.580000E+01,1.810978E-01
1.590000E+01,1.684642E-01
1.600000E+01,1.607333E-01
