t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-2.313912E-09,-1.783411E-08,-1.554680E-08,9.095245E-09,-9.838455E-10,2.525829E-08
4.000000E-01,-1.494033E-08,-8.809736E-08,-8.414823E-08,6.319862E-08,-1.354847E-08,1.343453E-07
5.000000E-01,-5.365176E-08,-2.601870E-07,-2.677459E-07,2.363387E-07,-6.380393E-08,4.226282E-07
6.000000E-01,-1.458196E-07,-5.971611E-07,-6.596805E-07,6.599005E-07,-2.030364E-07,1.031076E-06
7.000000E-01,-3.317921E-07,-1.161262E-06,-1.378258E-06,1.530985E-06,-5.153665E-07,2.133665E-06
8.000000E-01,-6.666947E-07,-2.008745E-06,-2.565967E-06,3.118977E-06,-1.123696E-06,3.935003E-06
9.000000E-01,-1.221600E-06,-3.182145E-06,-4.386376E-06,5.767505E-06,-2.195118E-06,6.662444E-06
1.000000E+00,-2.084418E-06,-4.703632E-06,-7.020008E-06,9.891680E-06,-3.945413E-06,1.055738E-05
1.100000E+00,-3.360369E-06,-6.568435E-06,-1.065964E-05,1.597044E-05,-6.642652E-06,1.586427E-05
1.200000E+00,-5.172077E-06,-8.739080E-06,-1.550512E-05,2.453402E-05,-1.060976E-05,2.281839E-05
1.300000E+00,-7.659184E-06,-1.114038E-05,-2.175810E-05,3.614687E-05,-1.622576E-05,3.163245E-05
1.400000E+00,-1.097740E-05,-1.365538E-05,-2.961673E-05,5.138635E-05,-2.392517E-05,4.248248E-05
1.500000E+00,-1.529682E-05,-1.612250E-05,-3.927076E-05,7.081781E-05,-3.419505E-05,5.549353E-05
1.600000E+00,-2.079936E-05,-1.833396E-05,-5.089708E-05,9.496699E-05,-4.756888E-05,7.072553E-05
1.700000E+00,-2.767515E-05,-2.003585E-05,-6.465586E-05,1.242905E-04,-6.461657E-05,8.816002E-05
1.800000E+00,-3.611774E-05,-2.093001E-05,-8.068742E-05,1.591457E-04,-8.593004E-05,1.076881E-04
1.900000E+00,-4.631805E-05,-2.067798E-05,-9.910988E-05,1.997612E-04,-1.121040E-04,1.290999E-04
2.000000E+00,-5.845719E-05,-1.890716E-05,-1.200176E-04,2.462093E-04,-1.437119E-04,1.520763E-04
2.100000E+00,-7.269814E-05,-1.521933E-05,-1.434803E-04,2.983821E-04,-1.812772E-04,1.761831E-04
2.200000E+00,-8.917668E-05,-9.201562E-06,-1.695433E-04,3.559720E-04,-2.252416E-04,2.008670E-04
2.300000E+00,-1.079919E-04,-4.393087E-07,-1.982285E-04,4.184592E-04,-2.759306E-04,2.254549E-04
2.400000E+00,-1.291969E-04,1.146841E-05,-2.295358E-04,4.851062E-04,-3.335188E-04,2.491557E-04
2.500000E+00,-1.527897E-04,2.689225E-05,-2.634466E-04,5.549612E-04,-3.979968E-04,2.710639E-04
2.600000E+00,-1.787057E-04,4.615464E-05,-2.999279E-04,6.268699E-04,-4.691417E-04,2.901669E-04
2.700000E+00,-2.068115E-04,6.951134E-05,-3.389373E-04,6.994981E-04,-5.464930E-04,3.053537E-04
2.800000E+00,-2.369010E-04,9.713321E-05,-3.804305E-04,7.713626E-04,-6.293366E-04,3.154263E-04
2.900000E+00,-2.686937E-04,1.290888E-04,-4.243698E-04,8.408708E-04,-7.166967E-04,3.191134E-04
3.000000E+00,-3.018357E-04,1.653287E-04,-4.707341E-04,9.063680E-04,-8.073384E-04,3.150855E-04
3.100000E+00,-3.359033E-04,2.056717E-04,-5.195311E-04,9.661905E-04,-8.997788E-04,3.019728E-04
3.200000E+00,-3.704088E-04,2.497944E-04,-5.708101E-04,1.018721E-03,-9.923089E-04,2.783836E-04
3.300000E+00,-4.048092E-04,2.972241E-04,-6.246762E-04,1.062448E-03,-1.083023E-03,2.429252E-04
