t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-2.029956E-09,6.651067E-08,9.611284E-08,2.015459E-08,-2.008242E-08,2.203424E-08
4.000000E-01,-1.356157E-08,3.418842E-07,5.149429E-07,1.085241E-07,-1.121637E-07,1.247357E-07
5.000000E-01,-4.999448E-08,1.047750E-06,1.629466E-06,3.452182E-07,-3.668735E-07,4.130033E-07
6.000000E-01,-1.390729E-07,2.498267E-06,4.003145E-06,8.523668E-07,-9.282297E-07,1.056505E-06
7.000000E-01,-3.234117E-07,5.062316E-06,8.357040E-06,1.788056E-06,-1.991658E-06,2.289563E-06
8.000000E-01,-6.634709E-07,9.157706E-06,1.557717E-05,3.348655E-06,-3.809156E-06,4.419298E-06
9.000000E-01,-1.240043E-06,1.523429E-05,2.671068E-05,5.768256E-06,-6.691378E-06,7.828852E-06
1.000000E+00,-2.156411E-06,2.375865E-05,4.295821E-05,9.317448E-06,-1.100799E-05,1.297937E-05
1.100000E+00,-3.540024E-06,3.519619E-05,6.566383E-05,1.430102E-05,-1.718632E-05,2.040902E-05
1.200000E+00,-5.543681E-06,4.999280E-05,9.630185E-05,2.105469E-05,-2.570815E-05,3.072957E-05
1.300000E+00,-8.346141E-06,6.855565E-05,1.364608E-04,2.994080E-05,-3.710456E-05,4.462031E-05
1.400000E+00,-1.215217E-05,9.123347E-05,1.878247E-04,4.134284E-05,-5.194897E-05,6.281918E-05
1.500000E+00,-1.719195E-05,1.182964E-04,2.521519E-04,5.565890E-05,-7.084833E-05,8.611148E-05
1.600000E+00,-2.371994E-05,1.499157E-04,3.312515E-04,7.329389E-05,-9.443253E-05,1.153160E-04
1.700000E+00,-3.201307E-05,1.861439E-04,4.269580E-04,9.465045E-05,-1.233423E-04,1.512689E-04
1.800000E+00,-4.236838E-05,2.268949E-04,5.411041E-04,1.201187E-04,-1.582157E-04,1.948061E-04
1.900000E+00,-5.510014E-05,2.719250E-04,6.754921E-04,1.500648E-04,-1.996732E-04,2.467434E-04
2.000000E+00,-7.053646E-05,3.208150E-04,8.318646E-04,1.848174E-04,-2.483023E-04,3.078566E-04
2.100000E+00,-8.901541E-05,3.729537E-04,1.011874E-03,2.246544E-04,-3.046412E-04,3.788599E-04
2.200000E+00,-1.108809E-04,4.275222E-04,1.217055E-03,2.697866E-04,-3.691620E-04,4.603848E-04
2.300000E+00,-1.364780E-04,4.834809E-04,1.448790E-03,3.203413E-04,-4.422542E-04,5.529600E-04
2.400000E+00,-1.661485E-04,5.395584E-04,1.708284E-03,3.763448E-04,-5.242086E-04,6.569913E-04
2.500000E+00,-2.002259E-04,5.942417E-04,1.996536E-03,4.377030E-04,-6.152017E-04,7.727436E-04
2.600000E+00,-2.390307E-04,6.457705E-04,2.314313E-03,5.041829E-04,-7.152811E-04,9.003254E-04
2.700000E+00,-2.828656E-04,6.921326E-04,2.662123E-03,5.753920E-04,-8.243528E-04,1.039675E-03
2.800000E+00,-3.320109E-04,7.310629E-04,3.040196E-03,6.507589E-04,-9.421699E-04,1.190551E-03
2.900000E+00,-3.867204E-04,7.600449E-04,3.448464E-03,7.295138E-04,-1.068324E-03,1.352526E-03
3.000000E+00,-4.472172E-04,7.763153E-04,3.886541E-03,8.106695E-04,-1.202237E-03,1.524980E-03
3.100000E+00,-5.136905E-04,7.768710E-04,4.353714E-03,8.930043E-04,-1.343159E-03,1.707107E-03
3.200000E+00,-5.862929E-04,7.584798E-04,4.848928E-03,9.750468E-04,-1.490167E-03,1.897917E-03
3.300000E+00,-6.651376E-04,7.176928E-04,5.370782E-03,1.055063E-03,-1.642165E-03,2.096245E-03
3.400000E+00,-7.502972E-04,6.508605E-04,5.917521E-03,1.131047E-03,-1.797893E-03,2.300766E-03
