t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,1.316729E-08,4.181263E-10,-2.332481E-08,3.997007E-09,3.578599E-08,2.888089E-09
4.000000E-01,6.907122E-08,3.659677E-09,-1.331641E-07,2.045074E-08,1.894492E-07,1.406034E-08
5.000000E-01,2.151204E-07,1.519594E-08,-4.423473E-07,6.233432E-08,5.924422E-07,4.102869E-08
6.000000E-01,5.206941E-07,4.545092E-08,-1.133076E-06,1.479799E-07,1.437707E-06,9.310706E-08
7.000000E-01,1.070919E-06,1.111278E-07,-2.456345E-06,2.990223E-07,2.962454E-06,1.790702E-07
8.000000E-01,1.966684E-06,2.364642E-07,-4.737955E-06,5.404642E-07,5.446218E-06,3.064512E-07
9.000000E-01,3.322680E-06,4.543420E-07,-8.379969E-06,9.005266E-07,9.204927E-06,4.805299E-07
1.000000E+00,5.265898E-06,8.072711E-07,-1.385875E-05,1.410756E-06,1.458423E-05,7.036235E-07
1.100000E+00,7.933815E-06,1.348221E-06,-2.171988E-05,2.106362E-06,2.195268E-05,9.745101E-07
1.200000E+00,1.147266E-05,2.141301E-06,-3.257006E-05,3.026772E-06,3.169468E-05,1.288107E-06
1.300000E+00,1.603560E-05,3.262287E-06,-4.706618E-05,4.216362E-06,4.420321E-05,1.635379E-06
1.400000E+00,2.178084E-05,4.798997E-06,-6.590236E-05,5.725291E-06,5.987246E-05,2.003481E-06
1.500000E+00,2.886954E-05,6.851519E-06,-8.979531E-05,7.610377E-06,7.908992E-05,2.376143E-06
1.600000E+00,3.746350E-05,9.532289E-06,-1.194690E-04,9.935907E-06,1.022280E-04,2.734261E-06
1.700000E+00,4.772248E-05,1.296604E-05,-1.556389E-04,1.277432E-05,1.296348E-04,3.056668E-06
1.800000E+00,5.980124E-05,1.728963E-05,-1.989980E-04,1.620664E-05,1.616239E-04,3.321073E-06
1.900000E+00,7.384594E-05,2.265168E-05,-2.502025E-04,2.032263E-05,1.984626E-04,3.505095E-06
2.000000E+00,8.999027E-05,2.921223E-05,-3.098614E-04,2.522056E-05,2.403592E-04,3.587369E-06
2.100000E+00,1.083509E-04,3.714216E-05,-3.785276E-04,3.100657E-05,2.874481E-04,3.548673E-06
2.200000E+00,1.290229E-04,4.662260E-05,-4.566922E-04,3.779360E-05,3.397742E-04,3.373021E-06
2.300000E+00,1.520739E-04,5.784425E-05,-5.447812E-04,4.569993E-05,3.972750E-04,3.048679E-06
2.400000E+00,1.775393E-04,7.100662E-05,-6.431560E-04,5.484729E-05,4.597622E-04,2.569072E-06
2.500000E+00,2.054160E-04,8.631721E-05,-7.521155E-04,6.535862E-05,5.269025E-04,1.933531E-06
2.600000E+00,2.356568E-04,1.039907E-04,-8.719000E-04,7.735555E-05,5.981972E-04,1.147870E-06
2.700000E+00,2.681647E-04,1.242481E-04,-1.002697E-03,9.095569E-05,6.729632E-04,2.247509E-07
2.800000E+00,3.027877E-04,1.473156E-04,-1.144647E-03,1.062697E-04,7.503140E-04,-8.161627E-07
2.900000E+00,3.393128E-04,1.734241E-04,-1.297848E-03,1.233984E-04,8.291415E-04,-1.948276E-06
3.000000E+00,3.774620E-04,2.028079E-04,-1.462356E-03,1.424297E-04,9.081007E-04,-3.138363E-06
3.100000E+00,4.168869E-04,2.357037E-04,-1.638191E-03,1.634358E-04,9.855960E-04,-4.347094E-06
3.200000E+00,4.571650E-04,2.723502E-04,-1.825326E-03,1.864701E-04,1.059770E-03,-5.529788E-06
3.300000E+00,4.977953E-04,3.129862E-04,-2.023685E-03,2.115645E-04,1.128496E-03,-6.637384E-06
3.400000E+00,5.381950E-04,3.578502E-04,-2.233120E-03,2.387265E-04,1.189371E-03,-7.617639E-06
