t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,2.083315E-08,-1.748349E-08,1.888153E-08,-3.190085E-08,5.570092E-08,-3.428049E-08
4.000000E-01,1.153304E-07,-9.956868E-08,8.566490E-08,-1.646751E-07,3.142574E-07,-1.789129E-07
5.000000E-01,3.746532E-07,-3.306613E-07,2.303094E-07,-5.031829E-07,1.033546E-06,-5.539526E-07
6.000000E-01,9.410650E-07,-8.472804E-07,4.724688E-07,-1.191820E-06,2.622241E-06,-1.331057E-06
7.000000E-01,2.002214E-06,-1.837553E-06,7.953239E-07,-2.391032E-06,5.629366E-06,-2.712418E-06
8.000000E-01,3.792495E-06,-3.546732E-06,1.129707E-06,-4.267037E-06,1.074834E-05,-4.924088E-06
9.000000E-01,6.589162E-06,-6.278432E-06,1.335641E-06,-6.976822E-06,1.880834E-05,-8.201818E-06
1.000000E+00,1.070698E-05,-1.039433E-05,1.184113E-06,-1.065292E-05,3.075709E-05,-1.277601E-05
1.100000E+00,1.649063E-05,-1.631108E-05,3.400306E-07,-1.538874E-05,4.763696E-05,-1.885366E-05
1.200000E+00,2.430596E-05,-2.449490E-05,-1.652941E-06,-2.122553E-05,7.055609E-05,-2.659881E-05
1.300000E+00,3.453069E-05,-3.545375E-05,-5.384509E-06,-2.814205E-05,1.006568E-04,-3.611137E-05
1.400000E+00,4.754500E-05,-4.972728E-05,-1.158578E-05,-3.604738E-05,1.390833E-04,-4.740503E-05
1.500000E+00,6.372243E-05,-6.787474E-05,-2.113209E-05,-4.477722E-05,1.869503E-04,-6.038470E-05
1.600000E+00,8.342126E-05,-9.046112E-05,-3.503976E-05,-5.409359E-05,2.453133E-04,-7.482392E-05
1.700000E+00,1.069761E-04,-1.180418E-04,-5.445610E-05,-6.368740E-05,3.151400E-04,-9.034301E-05
1.800000E+00,1.346892E-04,-1.511459E-04,-8.064240E-05,-7.318331E-05,3.972824E-04,-1.063883E-04
1.900000E+00,1.668219E-04,-1.902590E-04,-1.149500E-04,-8.214615E-05,4.924477E-04,-1.222131E-04
2.000000E+00,2.035837E-04,-2.358049E-04,-1.587902E-04,-9.008846E-05,6.011663E-04,-1.368618E-04
2.100000E+00,2.451212E-04,-2.881275E-04,-2.135979E-04,-9.647907E-05,7.237553E-04,-1.491562E-04
2.200000E+00,2.915045E-04,-3.474730E-04,-2.807922E-04,-1.007531E-04,8.602771E-04,-1.576877E-04
2.300000E+00,3.427116E-04,-4.139730E-04,-3.617334E-04,-1.023244E-04,1.010492E-03,-1.608134E-04
2.400000E+00,3.986127E-04,-4.876288E-04,-4.576788E-04,-1.006011E-04,1.173804E-03,-1.566594E-04
2.500000E+00,4.589526E-04,-5.682985E-04,-5.697394E-04,-9.500650E-05,1.349209E-03,-1.431323E-04
2.600000E+00,5.233335E-04,-6.556863E-04,-6.988386E-04,-8.500524E-05,1.535235E-03,-1.179380E-04
2.700000E+00,5.911997E-04,-7.493357E-04,-8.456747E-04,-7.013616E-05,1.729889E-03,-7.861075E-05
2.800000E+00,6.618242E-04,-8.486265E-04,-1.010688E-03,-5.005016E-05,1.930606E-03,-2.255006E-05
2.900000E+00,7.342991E-04,-9.527765E-04,-1.194032E-03,-2.455170E-05,2.134216E-03,5.293282E-05
3.000000E+00,8.075314E-04,-1.060847E-03,-1.395558E-03,6.359736E-06,2.336913E-03,1.505623E-04
3.100000E+00,8.802447E-04,-1.171754E-03,-1.614797E-03,4.245268E-05,2.534256E-03,2.730406E-04
3.200000E+00,9.509877E-04,-1.284282E-03,-1.850957E-03,8.323689E-05,2.721186E-03,4.229878E-04
3.300000E+00,1.018150E-03,-1.397101E-03,-2.102925E-03,1.279523E-04,2.892064E-03,6.028823E-04
