t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,2.443381E-08,-4.170455E-08,-1.294791E-08,-4.032020E-08,8.920161E-08,8.935575E-09
4.000000E-01,1.191976E-07,-2.210481E-07,-7.892594E-08,-1.947918E-07,4.464891E-07,7.185122E-08
5.000000E-01,3.474488E-07,-6.933282E-07,-2.752115E-07,-5.607458E-07,1.327424E-06,2.877373E-07
6.000000E-01,7.855117E-07,-1.686717E-06,-7.347143E-07,-1.250883E-06,3.060289E-06,8.403248E-07
7.000000E-01,1.500354E-06,-3.480611E-06,-1.653450E-06,-2.355097E-06,5.968794E-06,2.016072E-06
8.000000E-01,2.540080E-06,-6.401304E-06,-3.300445E-06,-3.924579E-06,1.033652E-05,4.219626E-06
9.000000E-01,3.921644E-06,-1.080922E-05,-6.023908E-06,-5.952565E-06,1.636227E-05,7.984508E-06
1.000000E+00,5.621318E-06,-1.708588E-05,-1.025291E-05,-8.356589E-06,2.411864E-05,1.397993E-05
1.100000E+00,7.567012E-06,-2.561843E-05,-1.649400E-05,-1.096149E-05,3.351810E-05,2.301357E-05
1.200000E+00,9.633375E-06,-3.678375E-05,-2.532261E-05,-1.348285E-05,4.428851E-05,3.603047E-05
1.300000E+00,1.163902E-05,-5.093194E-05,-3.736969E-05,-1.551069E-05,5.595879E-05,5.410812E-05
1.400000E+00,1.334495E-05,-6.836990E-05,-5.330518E-05,-1.649365E-05,6.785327E-05,7.844681E-05
1.500000E+00,1.445289E-05,-8.934495E-05,-7.382002E-05,-1.572478E-05,7.909089E-05,1.103548E-04
1.600000E+00,1.460197E-05,-1.140285E-04,-9.960892E-05,-1.233059E-05,8.858437E-05,1.512270E-04
1.700000E+00,1.336274E-05,-1.424998E-04,-1.313555E-04,-5.265423E-06,9.503392E-05,2.025158E-04
1.800000E+00,1.022818E-05,-1.747297E-04,-1.697210E-04,6.686519E-06,9.691168E-05,2.656947E-04
1.900000E+00,4.602163E-06,-2.105650E-04,-2.153361E-04,2.489973E-05,9.243559E-05,3.422132E-04
2.000000E+00,-4.212690E-06,-2.497128E-04,-2.687951E-04,5.088536E-05,7.953521E-05,4.334457E-04
2.100000E+00,-1.702531E-05,-2.917271E-04,-3.306490E-04,8.625885E-05,5.581604E-05,5.406358E-04
2.200000E+00,-3.476138E-05,-3.359981E-04,-4.013953E-04,1.326986E-04,1.853182E-05,6.648385E-04
2.300000E+00,-5.846054E-05,-3.817440E-04,-4.814615E-04,1.918983E-04,-3.542371E-05,8.068657E-04
2.400000E+00,-8.926321E-05,-4.280102E-04,-5.711792E-04,2.655178E-04,-1.094948E-04,9.672366E-04
2.500000E+00,-1.283863E-04,-4.736722E-04,-6.707489E-04,3.551347E-04,-2.074039E-04,1.146137E-03
2.600000E+00,-1.770887E-04,-5.174465E-04,-7.801970E-04,4.622040E-04,-3.330509E-04,1.343390E-03
2.700000E+00,-2.366292E-04,-5.579080E-04,-8.993261E-04,5.880262E-04,-4.903757E-04,1.558437E-03
2.800000E+00,-3.082205E-04,-5.935122E-04,-1.027667E-03,7.337285E-04,-6.831938E-04,1.790327E-03
2.900000E+00,-3.929859E-04,-6.226228E-04,-1.164435E-03,9.002591E-04,-9.150202E-04,2.037723E-03
3.000000E+00,-4.919208E-04,-6.435407E-04,-1.308497E-03,1.088393E-03,-1.188900E-03,2.298897E-03
3.100000E+00,-6.058659E-04,-6.545339E-04,-1.458359E-03,1.298750E-03,-1.507264E-03,2.571742E-03
3.200000E+00,-7.354915E-04,-6.538652E-04,-1.612167E-03,1.531813E-03,-1.871821E-03,2.853774E-03
3.300000E+00,-8.812951E-04,-6.398162E-04,-1.767732E-03,1.787960E-03,-2.283499E-03,3.142132E-03
