t (s),<greek>z</greek> (m)
1.000000E-01,0.000000E+00
2.000000E-01,-3.513077E-06
3.000000E-01,-7.166809E-06
4.000000E-01,3.903159E-07
5.000000E-01,3.076084E-05
6.000000E-01,9.442783E-05
7.000000E-01,1.996137E-04
8.000000E-01,3.515846E-04
9.000000E-01,5.525567E-04
1.000000E+00,8.022702E-04
1.100000E+00,1.099183E-03
1.200000E+00,1.442117E-03
1.300000E+00,1.832100E-03
1.400000E+00,2.274039E-03
1.500000E+00,2.777894E-03
1.600000E+00,3.358979E-03
1.700000E+00,4.037164E-03
1.800000E+00,4.834845E-03
1.900000E+00,5.773746E-03
2.000000E+00,6.870792E-03
2.100000E+00,8.133473E-03
2.200000E+00,9.555259E-03
2.300000E+00,1.111171E-02
2.400000E+00,1.275792E-02
2.500000E+00,1.442788E-02
2.600000E+00,1.603617E-02
2.700000E+00,1.748202E-02
2.800000E+00,1.865585E-02
2.900000E+00,1.944754E-02
3.000000E+00,1.975605E-02
3.100000E+00,1.949912E-02
3.200000E+00,1.862219E-02
3.300000E+00,1.710539E-02
3.400000E+00,1.496757E-02
3.500000E+00,1.226663E-02
3.600000E+00,9.095832E-03
3.700000E+00,5.576090E-03
3.800000E+00,1.844687E-03
3.900000E+00,-1.958539E-03
4.000000E+00,-5.706306E-03
4.100000E+00,-9.298688E-03
4.200000E+00,-1.267598E-02
4.300000E+00,-1.582802E-02
4.400000E+00,-1.879878E-02
4.500000E+00,-2.168518E-02
4.600000E+00,-2.463008E-02
4.700000E+00,-2.780954E-02
4.800000E+00,-3.141546E-02
4.900000E+00,-3.563510E-02
5.000000E+00,-4.062934E-02
5.100000E+00,-4.651196E-02
5.200000E+00,-5.333207E-02
5.300000E+00,-6.106163E-02
5.400000E+00,-6.958961E-02
5.500000E+00,-7.872357E-02
5.600000E+00,-8.819889E-02
5.700000E+00,-9.769475E-02
5.800000E+00,-1.068557E-01
5.900000E+00,-1.153166E-01
6.000000E+00,-1.227285E-01
6.100000E+00,-1.287829E-01
6.200000E+00,-1.332322E-01
6.300000E+00,-1.359040E-01
6.400000E+00,-1.367080E-01
6.500000E+00,-1.356352E-01
6.600000E+00,-1.327503E-01
6.700000E+00,-1.281768E-01
6.800000E+00,-1.220797E-01
6.900000E+00,-1.146454E-01
7.000000E+00,-1.060640E-01
7.100000E+00,-9.651544E-02
7.200000E+00,-8.616114E-02
7.300000E+00,-7.514428E-02
7.400000E+00,-6.359711E-02
7.500000E+00,-5.165567E-02
7.600000E+00,-3.947961E-02
7.700000E+00,-2.727417E-02
7.800000E+00,-1.531088E-02
7.900000E+00,-3.943046E-03
8.000000E+00,6.387733E-03
8.100000E+00,1.515689E-02
8.200000E+00,2.177617E-02
8.300000E+00,2.562726E-02
8.400000E+00,2.610862E-02
8.500000E+00,2.269260E-02
8.600000E+00,1.498833E-02
8.700000E+00,2.804681E-03
8.800000E+00,-1.379334E-02
8.900000E+00,-3.444136E-02
9.000000E+00,-5.845175E-02
9.100000E+00,-8.481407E-02
9.200000E+00,-1.122228E-01
9.300000E+00,-1.391334E-01
9.400000E+00,-1.638441E-01
9.500000E+00,-1.846006E-01
9.600000E+00,-1.997144E-01
9.700000E+00,-2.076878E-01
9.800000E+00,-2.073348E-01
9.900000E+00,-1.978873E-01
1.000000E+01,-1.790768E-01
1.010000E+01,-1.511828E-01
1.020000E+01,-1.150428E-01
1.030000E+01,-7.201988E-02
1.040000E+01,-2.392920E-02
1.050000E+01,2.707250E-02
1.060000E+01,7.862715E-02
1.070000E+01,1.283344E-01
1.080000E+01,1.739169E-01
1.090000E+01,2.133789E-01
1.100000E+01,2.451440E-01
1.110000E+01,2.681608E-01
1.120000E+01,2.819666E-01
1.130000E+01,2.867040E-01
1.140000E+01,2.830882E-01
1.150000E+01,2.723271E-01
1.160000E+01,2.560025E-01
1.170000E+01,2.359214E-01
1.180000E+01,2.139514E-01
1.190000E+01,1.918554E-01
1.200000E+01,1.711406E-01
1.210000E+01,1.529347E-01
1.220000E+01,1.379036E-01
1.230000E+01,1.262151E-01
1.240000E+01,1.175551E-01
1.250000E+01,1.111925E-01
1.260000E+01,1.060893E-01
1.270000E+01,1.010428E-01
1.280000E+01,9.484801E-02
1.290000E+01,8.646393E-02
1.300000E+01,7.516699E-02
1.310000E+01,6.067627E-02
1.320000E+01,4.323734E-02
1.330000E+01,2.365541E-02
1.340000E+01,3.272879E-03
1.350000E+01,-1.610796E-02
1.360000E+01,-3.235158E-02
1.370000E+01,-4.315468E-02
1.380000E+01,-4.623597E-02
1.390000E+01,-3.953361E-02
1.400000E+01,-2.139237E-02
1.410000E+01,9.276624E-03
1.420000E+01,5.287830E-02
1.430000E+01,1.090693E-01
1.440000E+01,1.767529E-01
1.450000E+01,2.541344E-01
1.460000E+01,3.388314E-01
1.470000E+01,4.280302E-01
1.480000E+01,5.186731E-01
1.490000E+01,6.076610E-01
1.500000E+01,6.920525E-01
1.510000E+01,7.692420E-01
1.520000E+01,8.371021E-01
1.530000E+01,8.940793E-01
1.540000E+01,9.392343E-01
1.550000E+01,9.722287E-01
1.560000E+01,9.932594E-01
1.570000E+01,1.002952E+00
1.580000E+01,1.002227E+00
1.590000E+01,9.921491E-01
1.600000E+01,9.737866E-01
1.610000E+01,9.480868E-01
1.620000E+01,9.157854E-01
1.630000E+01,8.773592E-01
1.640000E+01,8.330244E-01
1.650000E+01,7.827816E-01
1.660000E+01,7.264980E-01
1.670000E+01,6.640184E-01
1.680000E+01,5.952881E-01
1.690000E+01,5.204716E-01
1.700000E+01,4.400507E-01
1.710000E+01,3.548874E-01
1.720000E+01,2.662398E-01
1.730000E+01,1.757259E-01
1.740000E+01,8.523432E-02
1.750000E+01,-3.211497E-03
1.760000E+01,-8.762346E-02
1.770000E+01,-1.662376E-01
1.780000E+01,-2.377009E-01
1.790000E+01,-3.012360E-01
1.800000E+01,-3.567637E-01
1.810000E+01,-4.049661E-01
1.820000E+01,-4.472805E-01
1.830000E+01,-4.858178E-01
1.840000E+01,-5.232084E-01
1.850000E+01,-5.623871E-01
1.860000E+01,-6.063313E-01
1.870000E+01,-6.577781E-01
1.880000E+01,-7.189434E-01
1.890000E+01,-7.912714E-01
1.900000E+01,-8.752391E-01
1.910000E+01,-9.702365E-01
1.920000E+01,-1.074537E+00
1.930000E+01,-1.185363E+00
1.940000E+01,-1.299050E+00
1.950000E+01,-1.411287E+00
1.960000E+01,-1.517425E+00
1.970000E+01,-1.612821E+00
1.980000E+01,-1.693186E+00
1.990000E+01,-1.754913E+00
2.000000E+01,-1.795351E+00
2.010000E+01,-1.812999E+00
2.020000E+01,-1.807602E+00
2.030000E+01,-1.780149E+00
2.040000E+01,-1.732757E+00
2.050000E+01,-1.668474E+00
2.060000E+01,-1.590995E+00
2.070000E+01,-1.504341E+00
2.080000E+01,-1.412515E+00
2.090000E+01,-1.319181E+00
2.100000E+01,-1.227377E+00
2.110000E+01,-1.139315E+00
2.120000E+01,-1.056258E+00
2.130000E+01,-9.785027E-01
2.140000E+01,-9.054584E-01
2.150000E+01,-8.358160E-01
2.160000E+01,-7.677823E-01
2.170000E+01,-6.993586E-01
2.180000E+01,-6.286309E-01
2.190000E+01,-5.540421E-01
2.200000E+01,-4.746173E-01
2.210000E+01,-3.901180E-01
2.220000E+01,-3.011112E-01
2.230000E+01,-2.089457E-01
2.240000E+01,-1.156391E-01
2.250000E+01,-2.368833E-02
2.260000E+01,6.417495E-02
2.270000E+01,1.452591E-01
2.280000E+01,2.171867E-01
2.290000E+01,2.781397E-01
2.300000E+01,3.270500E-01
2.310000E+01,3.637149E-01
2.320000E+01,3.888273E-01
2.330000E+01,4.039160E-01
2.340000E+01,4.112062E-01
2.350000E+01,4.134133E-01
2.360000E+01,4.134944E-01
2.370000E+01,4.143826E-01
2.380000E+01,4.187347E-01
2.390000E+01,4.287161E-01
2.400000E+01,4.458461E-01
2.410000E+01,4.709179E-01
2.420000E+01,5.039990E-01
2.430000E+01,5.445094E-01
2.440000E+01,5.913647E-01
2.450000E+01,6.431655E-01
2.460000E+01,6.984081E-01
2.470000E+01,7.556899E-01
2.480000E+01,8.138849E-01
2.490000E+01,8.722647E-01
2.500000E+01,9.305531E-01
2.510000E+01,9.889041E-01
2.520000E+01,1.047809E+00
2.530000E+01,1.107938E+00
2.540000E+01,1.169949E+00
2.550000E+01,1.234268E+00
2.560000E+01,1.300890E+00
2.570000E+01,1.369216E+00
2.580000E+01,1.437953E+00
2.590000E+01,1.505099E+00
2.600000E+01,1.568010E+00
2.610000E+01,1.623563E+00
2.620000E+01,1.668393E+00
2.630000E+01,1.699181E+00
2.640000E+01,1.712975E+00
2.650000E+01,1.707500E+00
2.660000E+01,1.681427E+00
2.670000E+01,1.634574E+00
2.680000E+01,1.568009E+00
2.690000E+01,1.484039E+00
2.700000E+01,1.386084E+00
2.710000E+01,1.278446E+00
2.720000E+01,1.165980E+00
2.730000E+01,1.053713E+00
2.740000E+01,9.464359E-01
2.750000E+01,8.483031E-01
2.760000E+01,7.624945E-01
2.770000E+01,6.909571E-01
2.780000E+01,6.342611E-01
2.790000E+01,5.915810E-01
2.800000E+01,5.608050E-01
2.810000E+01,5.387601E-01
2.820000E+01,5.215307E-01
2.830000E+01,5.048378E-01
2.840000E+01,4.844399E-01
2.850000E+01,4.565159E-01
2.860000E+01,4.179909E-01
2.870000E+01,3.667731E-01
2.880000E+01,3.018811E-01
2.890000E+01,2.234502E-01
2.900000E+01,1.326222E-01
2.910000E+01,3.133508E-02
2.920000E+01,-7.796170E-02
2.930000E+01,-1.926286E-01
2.940000E+01,-3.101569E-01
2.950000E+01,-4.284495E-01
2.960000E+01,-5.460269E-01
2.970000E+01,-6.621337E-01
2.980000E+01,-7.767313E-01
2.990000E+01,-8.903767E-01
3.000000E+01,-1.004000E+00
3.010000E+01,-1.118605E+00
3.020000E+01,-1.234934E+00
3.030000E+01,-1.353128E+00
3.040000E+01,-1.472437E+00
3.050000E+01,-1.591006E+00
3.060000E+01,-1.705784E+00
3.070000E+01,-1.812568E+00
3.080000E+01,-1.906182E+00
3.090000E+01,-1.980801E+00
3.100000E+01,-2.030378E+00
3.110000E+01,-2.049147E+00
3.120000E+01,-2.032159E+00
3.130000E+01,-1.975794E+00
3.140000E+01,-1.878205E+00
3.150000E+01,-1.739647E+00
3.160000E+01,-1.562654E+00
3.170000E+01,-1.352044E+00
3.180000E+01,-1.114746E+00
3.190000E+01,-8.594568E-01
3.200000E+01,-5.961527E-01
3.210000E+01,-3.354946E-01
3.220000E+01,-8.817531E-02
3.230000E+01,1.357415E-01
3.240000E+01,3.274358E-01
3.250000E+01,4.798531E-01
3.260000E+01,5.880950E-01
3.270000E+01,6.496517E-01
3.280000E+01,6.644663E-01
3.290000E+01,6.348307E-01
3.300000E+01,5.651339E-01
3.310000E+01,4.614868E-01
3.320000E+01,3.312636E-01
3.330000E+01,1.825970E-01
3.340000E+01,2.387163E-02
3.350000E+01,-1.367495E-01
3.360000E+01,-2.917342E-01
3.370000E+01,-4.345051E-01
3.380000E+01,-5.596660E-01
3.390000E+01,-6.631326E-01
3.400000E+01,-7.421724E-01
3.410000E+01,-7.953708E-01
3.420000E+01,-8.225416E-01
3.430000E+01,-8.246021E-01
3.440000E+01,-8.034311E-01
3.450000E+01,-7.617242E-01
3.460000E+01,-7.028565E-01
3.470000E+01,-6.307542E-01
3.480000E+01,-5.497745E-01
3.490000E+01,-4.645847E-01
3.500000E+01,-3.800341E-01
3.510000E+01,-3.010066E-01
3.520000E+01,-2.322490E-01
3.530000E+01,-1.781714E-01
3.540000E+01,-1.426233E-01
3.550000E+01,-1.286554E-01
3.560000E+01,-1.382818E-01
3.570000E+01,-1.722647E-01
3.580000E+01,-2.299439E-01
3.590000E+01,-3.091347E-01
3.600000E+01,-4.061142E-01
3.610000E+01,-5.157105E-01
3.620000E+01,-6.315003E-01
3.630000E+01,-7.461120E-01
3.640000E+01,-8.516183E-01
3.650000E+01,-9.399955E-01
3.660000E+01,-1.003616E+00
3.670000E+01,-1.035739E+00
3.680000E+01,-1.030953E+00
3.690000E+01,-9.855466E-01
3.700000E+01,-8.977596E-01
3.710000E+01,-7.679051E-01
3.720000E+01,-5.983456E-01
3.730000E+01,-3.933287E-01
3.740000E+01,-1.586942E-01
3.750000E+01,9.851767E-02
3.760000E+01,3.705244E-01
3.770000E+01,6.492840E-01
3.780000E+01,9.269619E-01
3.790000E+01,1.196344E+00
3.800000E+01,1.451163E+00
3.810000E+01,1.686320E+00
3.820000E+01,1.897991E+00
3.830000E+01,2.083615E+00
3.840000E+01,2.241792E+00
3.850000E+01,2.372105E+00
3.860000E+01,2.474892E+00
3.870000E+01,2.551017E+00
3.880000E+01,2.601653E+00
