t (s),<greek>z</greek> (m)
1.000000E-01,0.000000E+00
2.000000E-01,-4.439295E-06
3.000000E-01,-1.266549E-05
4.000000E-01,-2.085457E-05
5.000000E-01,-2.848408E-05
6.000000E-01,-3.572740E-05
7.000000E-01,-4.088826E-05
8.000000E-01,-3.831840E-05
9.000000E-01,-1.710131E-05
1.000000E+00,3.934817E-05
1.100000E+00,1.527084E-04
1.200000E+00,3.481957E-04
1.300000E+00,6.520763E-04
1.400000E+00,1.088366E-03
1.500000E+00,1.674944E-03
1.600000E+00,2.419467E-03
1.700000E+00,3.315573E-03
1.800000E+00,4.340006E-03
1.900000E+00,5.451251E-03
2.000000E+00,6.590153E-03
2.100000E+00,7.682759E-03
2.200000E+00,8.645260E-03
2.300000E+00,9.390577E-03
2.400000E+00,9.835827E-03
2.500000E+00,9.909760E-03
2.600000E+00,9.559276E-03
2.700000E+00,8.754313E-03
2.800000E+00,7.490762E-03
2.900000E+00,5.791377E-03
3.000000E+00,3.704985E-03
3.100000E+00,1.304425E-03
3.200000E+00,-1.316384E-03
3.300000E+00,-4.046079E-03
3.400000E+00,-6.760342E-03
3.500000E+00,-9.327654E-03
3.600000E+00,-1.161688E-02
3.700000E+00,-1.350708E-02
3.800000E+00,-1.489945E-02
3.900000E+00,-1.573066E-02
4.000000E+00,-1.598604E-02
4.100000E+00,-1.571031E-02
4.200000E+00,-1.501326E-02
4.300000E+00,-1.406813E-02
4.400000E+00,-1.310099E-02
4.500000E+00,-1.237112E-02
4.600000E+00,-1.214388E-02
4.700000E+00,-1.265938E-02
4.800000E+00,-1.410158E-02
4.900000E+00,-1.657291E-02
5.000000E+00,-2.007890E-02
5.100000E+00,-2.452609E-02
5.200000E+00,-2.973373E-02
5.300000E+00,-3.545722E-02
5.400000E+00,-4.141881E-02
5.500000E+00,-4.733911E-02
5.600000E+00,-5.296280E-02
5.700000E+00,-5.807287E-02
5.800000E+00,-6.249058E-02
5.900000E+00,-6.606175E-02
6.000000E+00,-6.863387E-02
6.100000E+00,-7.003183E-02
6.200000E+00,-7.004151E-02
6.300000E+00,-6.841006E-02
6.400000E+00,-6.486889E-02
6.500000E+00,-5.918033E-02
6.600000E+00,-5.120311E-02
6.700000E+00,-4.096551E-02
6.800000E+00,-2.873086E-02
6.900000E+00,-1.503783E-02
7.000000E+00,-6.997918E-04
7.100000E+00,1.324704E-02
7.200000E+00,2.564892E-02
7.300000E+00,3.538501E-02
7.400000E+00,4.154461E-02
7.500000E+00,4.360501E-02
7.600000E+00,4.157937E-02
7.700000E+00,3.610542E-02
7.800000E+00,2.845222E-02
7.900000E+00,2.043351E-02
8.000000E+00,1.423108E-02
8.100000E+00,1.214636E-02
8.200000E+00,1.631206E-02
8.300000E+00,2.840415E-02
8.400000E+00,4.939707E-02
8.500000E+00,7.940004E-02
8.600000E+00,1.176014E-01
8.700000E+00,1.623311E-01
8.800000E+00,2.112346E-01
8.900000E+00,2.615312E-01
9.000000E+00,3.103206E-01
