t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,8.670507E-09,-2.050113E-09,3.371537E-08,3.829451E-10,3.433196E-08,-1.742435E-11
4.000000E-01,4.699711E-08,-1.283748E-08,1.700582E-07,8.494964E-09,1.852540E-07,-5.239302E-09
5.000000E-01,1.499010E-07,-4.494382E-08,5.085501E-07,4.366245E-08,5.886645E-07,-2.970678E-08
6.000000E-01,3.691080E-07,-1.192131E-07,1.177397E-06,1.452969E-07,1.446906E-06,-1.022667E-07
7.000000E-01,7.671730E-07,-2.645659E-07,2.301297E-06,3.799526E-07,3.008207E-06,-2.713837E-07
8.000000E-01,1.412996E-06,-5.178752E-07,3.981405E-06,8.466675E-07,5.552044E-06,-6.084991E-07
9.000000E-01,2.373886E-06,-9.229466E-07,6.268059E-06,1.680915E-06,9.361736E-06,-1.210611E-06
1.000000E+00,3.706626E-06,-1.529000E-06,9.131026E-06,3.056200E-06,1.468847E-05,-2.202010E-06
1.100000E+00,5.448489E-06,-2.388637E-06,1.243017E-05,5.182663E-06,2.171093E-05,-3.735353E-06
1.200000E+00,7.610309E-06,-3.555490E-06,1.588939E-05,8.302242E-06,3.049592E-05,-5.992170E-06
1.300000E+00,1.017337E-05,-5.081670E-06,1.907723E-05,1.268024E-05,4.096690E-05,-9.182895E-06
1.400000E+00,1.309170E-05,-7.015199E-06,2.139727E-05,1.859346E-05,5.288709E-05,-1.354628E-05
1.500000E+00,1.630063E-05,-9.397570E-06,2.209024E-05,2.631548E-05,6.586277E-05,-1.934801E-05
1.600000E+00,1.973159E-05,-1.226163E-05,2.024894E-05,3.609990E-05,7.936974E-05,-2.687806E-05
1.700000E+00,2.333196E-05,-1.562992E-05,1.484497E-05,4.816256E-05,9.280260E-05,-3.644641E-05
1.800000E+00,2.708797E-05,-1.951368E-05,4.764906E-06,6.266381E-05,1.055429E-04,-4.837685E-05
1.900000E+00,3.104773E-05,-2.391263E-05,-1.114792E-05,7.969185E-05,1.170384E-04,-6.299839E-05
2.000000E+00,3.534114E-05,-2.881561E-05,-3.405071E-05,9.924792E-05,1.268842E-04,-8.063462E-05
2.100000E+00,4.019369E-05,-3.420218E-05,-6.506248E-05,1.212338E-04,1.348930E-04,-1.015911E-04
2.200000E+00,4.593184E-05,-4.004515E-05,-1.052335E-04,1.454418E-04,1.411469E-04,-1.261414E-04
2.300000E+00,5.297856E-05,-4.631407E-05,-1.555257E-04,1.715475E-04,1.460203E-04,-1.545128E-04
2.400000E+00,6.183963E-05,-5.297938E-05,-2.168053E-04,1.991037E-04,1.501732E-04,-1.868722E-04
2.500000E+00,7.308207E-05,-6.001733E-05,-2.898463E-04,2.275374E-04,1.545147E-04,-2.233137E-04
2.600000E+00,8.730820E-05,-6.741527E-05,-3.753414E-04,2.561465E-04,1.601451E-04,-2.638473E-04
2.700000E+00,1.051289E-04,-7.517718E-05,-4.739167E-04,2.840974E-04,1.682869E-04,-3.083913E-04
2.800000E+00,1.271401E-04,-8.332924E-05,-5.861435E-04,3.104237E-04,1.802191E-04,-3.567667E-04
2.900000E+00,1.539065E-04,-9.192523E-05,-7.125432E-04,3.340233E-04,1.972267E-04,-4.086935E-04
3.000000E+00,1.859539E-04,-1.010516E-04,-8.535807E-04,3.536567E-04,2.205782E-04,-4.637906E-04
3.100000E+00,2.237699E-04,-1.108318E-04,-1.009644E-03,3.679450E-04,2.515329E-04,-5.215756E-04
3.200000E+00,2.678122E-04,-1.214307E-04,-1.181014E-03,3.753702E-04,2.913797E-04,-5.814667E-04
3.300000E+00,3.185193E-04,-1.330572E-04,-1.367817E-03,3.742763E-04,3.414942E-04,-6.427841E-04
3.400000E+00,3.763179E-04,-1.459674E-04,-1.569986E-03,3.628763E-04,4.034001E-04,-7.047526E-04
