t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-9.189922E-10,-3.641817E-08,-1.378459E-07,2.409931E-08,5.380762E-10,2.916257E-08
4.000000E-01,-1.139266E-08,-1.701436E-07,-7.220453E-07,1.528640E-07,-1.755921E-08,1.558607E-07
5.000000E-01,-5.261286E-08,-4.751184E-07,-2.240462E-06,5.446058E-07,-1.084532E-07,4.923767E-07
6.000000E-01,-1.664606E-07,-1.023399E-06,-5.400926E-06,1.472857E-06,-3.854717E-07,1.206316E-06
7.000000E-01,-4.218049E-07,-1.843828E-06,-1.106069E-05,3.339714E-06,-1.043497E-06,2.507494E-06
8.000000E-01,-9.197445E-07,-2.900980E-06,-2.021544E-05,6.690594E-06,-2.375748E-06,4.646805E-06
9.000000E-01,-1.797946E-06,-4.069019E-06,-3.397135E-05,1.222038E-05,-4.788815E-06,7.909019E-06
1.000000E+00,-3.233969E-06,-5.108569E-06,-5.351212E-05,2.077135E-05,-8.814174E-06,1.260479E-05
1.100000E+00,-5.447429E-06,-5.644758E-06,-8.006347E-05,3.332235E-05,-1.511604E-05,1.906011E-05
1.200000E+00,-8.700993E-06,-5.148341E-06,-1.148546E-04,5.096917E-05,-2.449540E-05,2.760411E-05
1.300000E+00,-1.330023E-05,-2.919992E-06,-1.590776E-04,7.489646E-05,-3.789018E-05,3.855519E-05
1.400000E+00,-1.959235E-05,1.921540E-06,-2.138460E-04,1.063421E-04,-5.637180E-05,5.220562E-05
1.500000E+00,-2.796397E-05,1.044704E-05,-2.801527E-04,1.465548E-04,-8.113818E-05,6.880482E-05
1.600000E+00,-3.883790E-05,2.391982E-05,-3.588291E-04,1.967476E-04,-1.135036E-04,8.854174E-05
1.700000E+00,-5.266917E-05,4.379385E-05,-4.505049E-04,2.580472E-04,-1.548859E-04,1.115265E-04
1.800000E+00,-6.994030E-05,7.170705E-05,-5.555710E-04,3.314434E-04,-2.067905E-04,1.377723E-04
1.900000E+00,-9.115606E-05,1.094696E-04,-6.741459E-04,4.177401E-04,-2.707931E-04,1.671765E-04
2.000000E+00,-1.168377E-04,1.590475E-04,-8.060457E-04,5.175095E-04,-3.485195E-04,1.995046E-04
2.100000E+00,-1.475167E-04,2.225426E-04,-9.507587E-04,6.310533E-04,-4.416241E-04,2.343735E-04
2.200000E+00,-1.837286E-04,3.021676E-04,-1.107426E-03,7.583726E-04,-5.517665E-04,2.712387E-04
2.300000E+00,-2.260061E-04,4.002195E-04,-1.274825E-03,8.991475E-04,-6.805868E-04,3.093835E-04
2.400000E+00,-2.748729E-04,5.190502E-04,-1.451364E-03,1.052731E-03,-8.296789E-04,3.479119E-04
2.500000E+00,-3.308366E-04,6.610356E-04,-1.635078E-03,1.218152E-03,-1.000563E-03,3.857459E-04
2.600000E+00,-3.943824E-04,8.285455E-04,-1.823627E-03,1.394141E-03,-1.194658E-03,4.216271E-04
2.700000E+00,-4.659675E-04,1.023913E-03,-2.014310E-03,1.579158E-03,-1.413249E-03,4.541236E-04
2.800000E+00,-5.460145E-04,1.249408E-03,-2.204073E-03,1.771444E-03,-1.657460E-03,4.816418E-04
2.900000E+00,-6.349068E-04,1.507210E-03,-2.389529E-03,1.969078E-03,-1.928223E-03,5.024441E-04
3.000000E+00,-7.329835E-04,1.799388E-03,-2.566973E-03,2.170051E-03,-2.226246E-03,5.146710E-04
3.100000E+00,-8.405361E-04,2.127881E-03,-2.732415E-03,2.372336E-03,-2.551985E-03,5.163684E-04
3.200000E+00,-9.578042E-04,2.494488E-03,-2.881594E-03,2.573977E-03,-2.905615E-03,5.055188E-04
3.300000E+00,-1.084974E-03,2.900857E-03,-3.010019E-03,2.773163E-03,-3.287007E-03,4.800755E-04
