t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-5.600320E-09,-3.985011E-08,-6.342852E-08,-2.709725E-09,4.259486E-09,-7.679334E-09
4.000000E-01,-2.846155E-08,-1.979610E-07,-3.406673E-07,-1.247794E-08,2.459812E-08,-4.383046E-08
5.000000E-01,-8.639192E-08,-5.892387E-07,-1.080395E-06,-3.460798E-08,8.244330E-08,-1.459452E-07
6.000000E-01,-2.041018E-07,-1.366114E-06,-2.660292E-06,-7.457495E-08,2.129276E-07,-3.751652E-07
7.000000E-01,-4.097272E-07,-2.691236E-06,-5.567443E-06,-1.356383E-07,4.654437E-07,-8.168786E-07
8.000000E-01,-7.340905E-07,-4.731805E-06,-1.040591E-05,-2.183014E-07,9.057280E-07,-1.584536E-06
9.000000E-01,-1.209015E-06,-7.648951E-06,-1.789782E-05,-3.196358E-07,1.617475E-06,-2.822261E-06
1.000000E+00,-1.865749E-06,-1.159012E-05,-2.888299E-05,-4.330181E-07,2.703846E-06,-4.707719E-06
1.100000E+00,-2.733129E-06,-1.668200E-05,-4.431796E-05,-5.481382E-07,4.288911E-06,-7.454714E-06
1.200000E+00,-3.835659E-06,-2.302539E-05,-6.527430E-05,-6.513599E-07,6.519033E-06,-1.131583E-05
1.300000E+00,-5.191425E-06,-3.069165E-05,-9.293610E-05,-7.264198E-07,9.564267E-06,-1.658506E-05
1.400000E+00,-6.809891E-06,-3.972089E-05,-1.285970E-04,-7.554771E-07,1.361976E-05,-2.360047E-05
1.500000E+00,-8.689546E-06,-5.012173E-05,-1.736568E-04,-7.205342E-07,1.890724E-05,-3.274691E-05
1.600000E+00,-1.081544E-05,-6.187276E-05,-2.296173E-04,-6.052320E-07,2.567649E-05,-4.445869E-05
1.700000E+00,-1.315660E-05,-7.492535E-05,-2.980784E-04,-3.970469E-07,3.420698E-05,-5.922236E-05
1.800000E+00,-1.566334E-05,-8.920788E-05,-3.807326E-04,-8.988986E-08,4.480949E-05,-7.757936E-05
1.900000E+00,-1.826459E-05,-1.046311E-04,-4.793609E-04,3.128685E-07,5.782776E-05,-1.001285E-04
2.000000E+00,-2.086505E-05,-1.210943E-04,-5.958263E-04,7.949563E-07,7.364018E-05,-1.275284E-04
2.100000E+00,-2.334249E-05,-1.384922E-04,-7.320685E-04,1.323331E-06,9.266134E-05,-1.604993E-04
2.200000E+00,-2.554503E-05,-1.567225E-04,-8.900972E-04,1.843906E-06,1.153435E-04,-1.998249E-04
2.300000E+00,-2.728850E-05,-1.756932E-04,-1.071985E-03,2.276895E-06,1.421778E-04,-2.463528E-04
2.400000E+00,-2.835400E-05,-1.953300E-04,-1.279860E-03,2.511811E-06,1.736952E-04,-3.009955E-04
2.500000E+00,-2.848558E-05,-2.155830E-04,-1.515897E-03,2.402185E-06,2.104672E-04,-3.647290E-04
2.600000E+00,-2.738822E-05,-2.364333E-04,-1.782309E-03,1.760072E-06,2.531055E-04,-4.385915E-04
2.700000E+00,-2.472610E-05,-2.578981E-04,-2.081337E-03,3.504474E-07,3.022615E-04,-5.236807E-04
2.800000E+00,-2.012114E-05,-2.800348E-04,-2.415240E-03,-2.114397E-06,3.586253E-04,-6.211496E-04
2.900000E+00,-1.315206E-05,-3.029437E-04,-2.786281E-03,-5.980315E-06,4.229230E-04,-7.322009E-04
3.000000E+00,-3.353772E-06,-3.267691E-04,-3.196717E-03,-1.165648E-05,4.959140E-04,-8.580804E-04
3.100000E+00,9.782744E-06,-3.516986E-04,-3.648783E-03,-1.962008E-05,5.783871E-04,-1.000069E-03
3.200000E+00,2.681001E-05,-3.779609E-04,-4.144677E-03,-3.042040E-05,6.711546E-04,-1.159471E-03
3.300000E+00,4.832313E-05,-4.058212E-04,-4.686547E-03,-4.468196E-05,7.750468E-04,-1.337605E-03
