t (s),<greek>z</greek> (m)
1.000000E-01,0.000000E+00
2.000000E-01,-9.157436E-06
3.000000E-01,-4.938722E-05
4.000000E-01,-1.360009E-04
5.000000E-01,-2.695553E-04
6.000000E-01,-4.283318E-04
7.000000E-01,-5.703710E-04
8.000000E-01,-6.452255E-04
9.000000E-01,-6.101899E-04
1.000000E+00,-4.430217E-04
1.100000E+00,-1.447988E-04
1.200000E+00,2.680937E-04
1.300000E+00,7.775913E-04
1.400000E+00,1.374275E-03
1.500000E+00,2.056715E-03
1.600000E+00,2.818111E-03
1.700000E+00,3.626301E-03
1.800000E+00,4.408791E-03
1.900000E+00,5.054434E-03
2.000000E+00,5.437054E-03
2.100000E+00,5.456110E-03
2.200000E+00,5.080071E-03
2.300000E+00,4.374245E-03
2.400000E+00,3.498750E-03
2.500000E+00,2.673071E-03
2.600000E+00,2.116803E-03
2.700000E+00,1.986139E-03
2.800000E+00,2.327986E-03
2.900000E+00,3.067230E-03
3.000000E+00,4.030348E-03
3.100000E+00,4.995507E-03
3.200000E+00,5.750957E-03
3.300000E+00,6.142836E-03
3.400000E+00,6.100085E-03
3.500000E+00,5.634229E-03
3.600000E+00,4.820580E-03
3.700000E+00,3.771324E-03
3.800000E+00,2.609317E-03
3.900000E+00,1.446375E-03
4.000000E+00,3.653338E-04
4.100000E+00,-5.960464E-04
4.200000E+00,-1.458482E-03
4.300000E+00,-2.306695E-03
4.400000E+00,-3.279742E-03
4.500000E+00,-4.541706E-03
4.600000E+00,-6.236302E-03
4.700000E+00,-8.438493E-03
4.800000E+00,-1.112202E-02
4.900000E+00,-1.415917E-02
5.000000E+00,-1.735749E-02
5.100000E+00,-2.052114E-02
5.200000E+00,-2.351049E-02
5.300000E+00,-2.626987E-02
5.400000E+00,-2.880404E-02
5.500000E+00,-3.110732E-02
5.600000E+00,-3.307461E-02
5.700000E+00,-3.444047E-02
5.800000E+00,-3.478939E-02
5.900000E+00,-3.365619E-02
6.000000E+00,-3.069701E-02
6.100000E+00,-2.587383E-02
6.200000E+00,-1.957586E-02
6.300000E+00,-1.261144E-02
6.400000E+00,-6.043931E-03
6.500000E+00,-9.027833E-04
6.600000E+00,2.145893E-03
6.700000E+00,3.057051E-03
6.800000E+00,2.492943E-03
6.900000E+00,1.688902E-03
7.000000E+00,2.123038E-03
7.100000E+00,5.084046E-03
7.200000E+00,1.127147E-02
7.300000E+00,2.055740E-02
7.400000E+00,3.198837E-02
7.500000E+00,4.402820E-02
7.600000E+00,5.496457E-02
7.700000E+00,6.335089E-02
7.800000E+00,6.834834E-02
7.900000E+00,6.987140E-02
8.000000E+00,6.850791E-02
8.100000E+00,6.525810E-02
8.200000E+00,6.118975E-02
