t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-1.920184E-09,-1.174590E-08,9.487043E-09,1.060190E-08,-7.126911E-09,1.818975E-08
4.000000E-01,-9.732466E-09,-7.433556E-08,4.105357E-08,5.135579E-08,-3.661750E-08,8.977227E-08
5.000000E-01,-2.937417E-08,-2.648317E-07,1.045274E-07,1.479005E-07,-1.116897E-07,2.647384E-07
6.000000E-01,-6.897882E-08,-7.173473E-07,1.996417E-07,3.291435E-07,-2.649001E-07,6.069120E-07
7.000000E-01,-1.377410E-07,-1.630762E-06,3.022068E-07,6.156705E-07,-5.340420E-07,1.180044E-06
8.000000E-01,-2.459656E-07,-3.279111E-06,3.569131E-07,1.012854E-06,-9.616856E-07,2.044598E-06
9.000000E-01,-4.050883E-07,-6.018722E-06,2.700884E-07,1.501861E-06,-1.594305E-06,3.253331E-06
1.000000E+00,-6.280262E-07,-1.029378E-05,-9.613692E-08,2.029832E-06,-2.481664E-06,4.849414E-06
1.100000E+00,-9.297075E-07,-1.663958E-05,-9.280322E-07,2.499215E-06,-3.676498E-06,6.865834E-06
1.200000E+00,-1.327776E-06,-2.568386E-05,-2.462912E-06,2.756481E-06,-5.234362E-06,9.326487E-06
1.300000E+00,-1.843373E-06,-3.814624E-05,-4.990271E-06,2.580533E-06,-7.213614E-06,1.224837E-05
1.400000E+00,-2.501929E-06,-5.483587E-05,-8.851551E-06,1.671291E-06,-9.675455E-06,1.564450E-05
1.500000E+00,-3.333898E-06,-7.664737E-05,-1.443870E-05,-3.609539E-07,-1.268402E-05,1.952707E-05
1.600000E+00,-4.375386E-06,-1.045552E-04,-2.219169E-05,-4.004727E-06,-1.630654E-05,2.391046E-05
1.700000E+00,-5.668654E-06,-1.396062E-04,-3.259512E-05,-9.854388E-06,-2.061359E-05,2.881367E-05
1.800000E+00,-7.262470E-06,-1.829109E-04,-4.617392E-05,-1.861429E-05,-2.567950E-05,3.426211E-05
1.900000E+00,-9.212309E-06,-2.356322E-04,-6.348834E-05,-3.109946E-05,-3.158292E-05,4.028838E-05
2.000000E+00,-1.158038E-05,-2.989734E-04,-8.512787E-05,-4.823236E-05,-3.840742E-05,4.693228E-05
2.100000E+00,-1.443544E-05,-3.741635E-04,-1.117044E-04,-7.103527E-05,-4.624213E-05,5.423972E-05
2.200000E+00,-1.785236E-05,-4.624411E-04,-1.438439E-04,-1.006182E-04,-5.518206E-05,6.226092E-05
2.300000E+00,-2.191133E-05,-5.650363E-04,-1.821775E-04,-1.381624E-04,-6.532783E-05,7.104754E-05
2.400000E+00,-2.669667E-05,-6.831512E-04,-2.273305E-04,-1.848988E-04,-7.678449E-05,8.064907E-05
2.500000E+00,-3.229507E-05,-8.179384E-04,-2.799106E-04,-2.420830E-04,-8.965899E-05,9.110816E-05
2.600000E+00,-3.879331E-05,-9.704781E-04,-3.404947E-04,-3.109656E-04,-1.040560E-04,1.024550E-04
2.700000E+00,-4.627531E-05,-1.141754E-03,-4.096140E-04,-3.927595E-04,-1.200722E-04,1.147005E-04
2.800000E+00,-5.481869E-05,-1.332627E-03,-4.877386E-04,-4.886033E-04,-1.377879E-04,1.278286E-04
2.900000E+00,-6.449082E-05,-1.543807E-03,-5.752607E-04,-5.995239E-04,-1.572584E-04,1.417874E-04
3.000000E+00,-7.534459E-05,-1.775828E-03,-6.724772E-04,-7.263966E-04,-1.785028E-04,1.564799E-04
3.100000E+00,-8.741425E-05,-2.029010E-03,-7.795716E-04,-8.699060E-04,-2.014926E-04,1.717533E-04
3.200000E+00,-1.007115E-04,-2.303434E-03,-8.965951E-04,-1.030507E-03,-2.261415E-04,1.873902E-04
3.300000E+00,-1.152220E-04,-2.598901E-03,-1.023448E-03,-1.208392E-03,-2.522943E-04,2.030987E-04
