t (s),<greek>x</greek><sub>1</sub> (m),<greek>x</greek><sub>2</sub> (m),<greek>x</greek><sub>3</sub> (m),<greek>x</greek><sub>4</sub> (deg),<greek>x</greek><sub>5</sub> (deg),<greek>x</greek><sub>6</sub> (deg)
1.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
2.000000E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
3.000000E-01,-5.692539E-10,-1.279603E-09,-1.657641E-08,-1.622922E-09,-5.026911E-11,-7.565340E-09
4.000000E-01,-2.062058E-09,-1.279068E-09,-8.653565E-08,-4.142708E-09,2.449873E-09,-3.864943E-08
5.000000E-01,-3.985028E-09,9.613750E-09,-2.684763E-07,-1.317172E-09,1.496388E-08,-1.178788E-07
6.000000E-01,-3.974083E-09,5.333029E-08,-6.485872E-07,2.327833E-08,5.334393E-08,-2.800526E-07
7.000000E-01,3.615162E-09,1.688092E-07,-1.334101E-06,1.015122E-07,1.453596E-07,-5.662149E-07
8.000000E-01,2.877065E-08,4.143624E-07,-2.454899E-06,2.838302E-07,3.337870E-07,-1.023917E-06
9.000000E-01,8.702710E-08,8.691659E-07,-4.163939E-06,6.417308E-07,6.795335E-07,-1.706816E-06
1.000000E+00,2.006637E-07,1.633370E-06,-6.637955E-06,1.268959E-06,1.264633E-06,-2.675107E-06
1.100000E+00,3.999337E-07,2.826889E-06,-1.007861E-05,2.281260E-06,2.195059E-06,-3.996306E-06
1.200000E+00,7.242924E-07,4.586779E-06,-1.471393E-05,3.814534E-06,3.603319E-06,-5.746579E-06
1.300000E+00,1.223623E-06,7.063291E-06,-2.079996E-05,6.021293E-06,5.650805E-06,-8.012486E-06
1.400000E+00,1.959444E-06,1.041463E-05,-2.862262E-05,9.065386E-06,8.529854E-06,-1.089305E-05
1.500000E+00,3.006091E-06,1.480058E-05,-3.849952E-05,1.311502E-05,1.246548E-05,-1.450203E-05
1.600000E+00,4.451853E-06,2.037505E-05,-5.078178E-05,1.833419E-05,1.771677E-05,-1.897027E-05
1.700000E+00,6.400049E-06,2.727786E-05,-6.585559E-05,2.487262E-05,2.457782E-05,-2.444794E-05
1.800000E+00,8.970024E-06,3.562583E-05,-8.414344E-05,3.285457E-05,3.337824E-05,-3.110664E-05
1.900000E+00,1.229806E-05,4.550348E-05,-1.061050E-04,4.236675E-05,4.448321E-05,-3.914111E-05
2.000000E+00,1.653815E-05,5.695366E-05,-1.322373E-04,5.344566E-05,5.829282E-05,-4.877050E-05
2.100000E+00,2.186266E-05,6.996826E-05,-1.630744E-04,6.606499E-05,7.524087E-05,-6.023908E-05
2.200000E+00,2.846276E-05,8.447946E-05,-1.991862E-04,8.012337E-05,9.579294E-05,-7.381631E-05
2.300000E+00,3.654876E-05,1.003516E-04,-2.411765E-04,9.543311E-05,1.204436E-04,-8.979619E-05
2.400000E+00,4.635010E-05,1.173746E-04,-2.896800E-04,1.117104E-04,1.497130E-04,-1.084959E-04
2.500000E+00,5.811515E-05,1.352579E-04,-3.453585E-04,1.285677E-04,1.841418E-04,-1.302533E-04
2.600000E+00,7.211065E-05,1.536276E-04,-4.088958E-04,1.455081E-04,2.242864E-04,-1.554244E-04
2.700000E+00,8.862089E-05,1.720238E-04,-4.809914E-04,1.619235E-04,2.707118E-04,-1.843788E-04
2.800000E+00,1.079464E-04,1.899024E-04,-5.623536E-04,1.770954E-04,3.239840E-04,-2.174955E-04
2.900000E+00,1.304024E-04,2.066376E-04,-6.536902E-04,1.901993E-04,3.846614E-04,-2.551569E-04
3.000000E+00,1.563165E-04,2.215284E-04,-7.556991E-04,2.003130E-04,4.532845E-04,-2.977428E-04
3.100000E+00,1.860262E-04,2.338077E-04,-8.690564E-04,2.064287E-04,5.303658E-04,-3.456234E-04
3.200000E+00,2.198760E-04,2.426543E-04,-9.944035E-04,2.074676E-04,6.163768E-04,-3.991512E-04
3.300000E+00,2.582137E-04,2.472084E-04,-1.132333E-03,2.022991E-04,7.117360E-04,-4.586536E-04
3.400000E+00,3.013863E-04,2.465894E-04,-1.283373E-03,1.897611E-04,8.167949E-04,-5.244240E-04
